"","prolific_pid","modulo","id","session_id","responses","tp","tn","fp","fn","cumulative_pay","condition","incentive","trial","duration","positives","negatives","p_trial_id","block_id","block","trial_pay","selected_positives","alpha","payoff_trial","payoff_lower","payoff_upper","expected_over_optimal"
"1","5e3db42ae01a2602b2068256",13,165,"5e3ed1a4fb9ed5123bcb8fda","2,8,4,10",4,1,0,5,0,"ci","10",13,47.546,9,1,1,1,1,0,4,9,0,-360,200,0.641711229946524
"2","5e3db42ae01a2602b2068256",13,166,"5e3ed1a4fb9ed5123bcb8fda","1,3,5,6",4,3,0,3,80,"ci","10",26,19.24,7,3,2,2,1,80,4,9,80,-680,200,0.862656072644722
"3","5e3db42ae01a2602b2068256",13,167,"5e3ed1a4fb9ed5123bcb8fda","5,3,7,2",3,5,1,1,40,"ci","10",8,23.496,4,6,3,3,1,-40,4,9,-40,-1160,200,0.822924320352682
"4","5e3db42ae01a2602b2068256",13,168,"5e3ed1a4fb9ed5123bcb8fda","10,5",2,8,0,0,240,"ci","10",21,7.939,2,8,4,4,1,200,2,9,200,-1480,200,0.99940511600238
"5","5e3db42ae01a2602b2068256",13,169,"5e3ed1a4fb9ed5123bcb8fda","2,5,8,10,3",4,5,1,0,240,"ci","10",3,7.489,4,6,5,5,1,0,5,9,0,-1160,200,0.852314474650992
"6","5e3db42ae01a2602b2068256",13,170,"5e3ed1a4fb9ed5123bcb8fda","7",1,2,0,7,160,"ci","10",16,23.192,8,2,6,6,1,-80,1,9,-80,-520,200,0.610263522884882
"7","5e3db42ae01a2602b2068256",13,171,"5e3ed1a4fb9ed5123bcb8fda","10,8",2,3,0,5,160,"ci","10",29,16.303,7,3,7,7,1,0,2,9,0,-680,200,0.771850170261067
"8","5e3db42ae01a2602b2068256",13,172,"5e3ed1a4fb9ed5123bcb8fda","7,4,2,9",4,5,0,1,320,"ci","10",11,9.134,5,5,8,8,1,160,4,9,160,-1000,200,0.96586178184846
"9","5e3db42ae01a2602b2068256",13,173,"5e3ed1a4fb9ed5123bcb8fda","9,3,10,5",4,6,0,0,520,"ci","10",24,6.881,4,6,9,9,1,200,4,9,200,-1160,200,0.999265246142542
"10","5e3db42ae01a2602b2068256",13,174,"5e3ed1a4fb9ed5123bcb8fda","2,8,9,3",4,6,0,0,720,"ci","10",6,5.83,4,6,10,10,1,200,4,9,200,-1160,200,0.999265246142542
"11","5e3db42ae01a2602b2068256",13,175,"5e3ed1a4fb9ed5123bcb8fda","null",0,5,0,5,720,"ci","10",19,4.408,5,5,11,11,1,0,0,9,0,-1000,200,0.832639467110741
"12","5e3db42ae01a2602b2068256",13,176,"5e3ed1a4fb9ed5123bcb8fda","9,8",2,6,0,2,840,"ci","10",1,8.619,4,6,12,12,1,120,2,9,120,-1160,200,0.940484937545922
"13","5e3db42ae01a2602b2068256",13,177,"5e3ed1a4fb9ed5123bcb8fda","3,2",2,5,0,3,920,"ci","10",14,6.043,5,5,13,13,1,80,2,9,80,-1000,200,0.8992506244796
"14","5e3db42ae01a2602b2068256",13,178,"5e3ed1a4fb9ed5123bcb8fda","7,2,4,10,8,9",6,3,0,1,1080,"ci","10",27,9.227,7,3,14,14,1,160,6,9,160,-680,200,0.953461975028377
