"prolific_pid","condition","trial","p_trial_id","alpha","block_id","block","beta","f1"
"5e3db42ae01a2602b2068256","ci",13,1,"0.1",1,1,1,0.615384615384615
"5e3db42ae01a2602b2068256","ci",26,2,"0.1",2,1,1,0.727272727272727
"5e3db42ae01a2602b2068256","ci",8,3,"0.1",3,1,1,0.75
"5e3db42ae01a2602b2068256","ci",21,4,"0.1",4,1,1,1
"5e3db42ae01a2602b2068256","ci",3,5,"0.1",5,1,1,0.888888888888889
"5e3db42ae01a2602b2068256","ci",16,6,"0.1",6,1,1,0.222222222222222
"5e3db42ae01a2602b2068256","ci",29,7,"0.1",7,1,1,0.444444444444444
"5e3db42ae01a2602b2068256","ci",11,8,"0.1",8,1,1,0.888888888888889
"5e3db42ae01a2602b2068256","ci",24,9,"0.1",9,1,1,1
"5e3db42ae01a2602b2068256","ci",6,10,"0.1",10,1,1,1
"5e3db42ae01a2602b2068256","ci",19,11,"0.1",11,1,1,0
"5e3db42ae01a2602b2068256","ci",1,12,"0.1",12,1,1,0.666666666666667
"5e3db42ae01a2602b2068256","ci",14,13,"0.1",13,1,1,0.571428571428571
"5e3db42ae01a2602b2068256","ci",27,14,"0.1",14,1,1,0.923076923076923
"5e3db42ae01a2602b2068256","ci",9,15,"0.1",15,1,1,0.933333333333333
"5e3db42ae01a2602b2068256","ci",22,16,"0.1",16,1,1,0
"5e3db42ae01a2602b2068256","ci",4,17,"0.1",17,1,1,0.5
"5e3db42ae01a2602b2068256","ci",17,18,"0.1",18,1,1,0.8
"5e3db42ae01a2602b2068256","ci",30,19,"0.1",19,1,1,1
"5e3db42ae01a2602b2068256","ci",12,20,"0.1",20,1,1,0.8
"5e3db42ae01a2602b2068256","ci",25,21,"0.1",21,1,1,0.571428571428571
"5e3db42ae01a2602b2068256","ci",7,22,"0.1",22,1,1,0
"5e3db42ae01a2602b2068256","ci",20,23,"0.1",23,1,1,0.666666666666667
"5e3db42ae01a2602b2068256","ci",2,24,"0.1",24,1,1,0.666666666666667
"5e3db42ae01a2602b2068256","ci",15,25,"0.1",25,1,1,1
"5e3db42ae01a2602b2068256","ci",28,26,"0.1",26,1,1,0.444444444444444
"5e3db42ae01a2602b2068256","ci",10,27,"0.1",27,1,1,0.5
"5e3db42ae01a2602b2068256","ci",23,28,"0.1",28,1,1,0.888888888888889
"5e3db42ae01a2602b2068256","ci",5,29,"0.1",29,1,1,0.6
"5e3db42ae01a2602b2068256","ci",18,30,"0.1",30,1,1,0.5
"5d9f8573ce3daf0015e3e400","ci",25,1,"0.1",1,1,1,0.571428571428571
"5d9f8573ce3daf0015e3e400","ci",19,2,"0.1",2,1,1,0.333333333333333
"5d9f8573ce3daf0015e3e400","ci",13,3,"0.1",3,1,1,0.714285714285714
"5d9f8573ce3daf0015e3e400","ci",7,4,"0.1",4,1,1,0.333333333333333
"5d9f8573ce3daf0015e3e400","ci",1,5,"0.1",5,1,1,0.571428571428571
"5d9f8573ce3daf0015e3e400","ci",26,6,"0.1",6,1,1,0.833333333333333
"5d9f8573ce3daf0015e3e400","ci",20,7,"0.1",7,1,1,0.8
"5d9f8573ce3daf0015e3e400","ci",14,8,"0.1",8,1,1,0.75
"5d9f8573ce3daf0015e3e400","ci",8,9,"0.1",9,1,1,0.75
"5d9f8573ce3daf0015e3e400","ci",2,10,"0.1",10,1,1,0.666666666666667
"5d9f8573ce3daf0015e3e400","ci",27,11,"0.1",11,1,1,0.727272727272727
"5d9f8573ce3daf0015e3e400","ci",21,12,"0.1",12,1,1,0.8
"5d9f8573ce3daf0015e3e400","ci",15,13,"0.1",13,1,1,1
"5d9f8573ce3daf0015e3e400","ci",9,14,"0.1",14,1,1,0.769230769230769
"5d9f8573ce3daf0015e3e400","ci",3,15,"0.1",15,1,1,0.857142857142857
"5d9f8573ce3daf0015e3e400","ci",28,16,"0.1",16,1,1,0
"5d9f8573ce3daf0015e3e400","ci",22,17,"0.1",17,1,1,0
"5d9f8573ce3daf0015e3e400","ci",16,18,"0.1",18,1,1,0
"5d9f8573ce3daf0015e3e400","ci",10,19,"0.1",19,1,1,0.285714285714286
"5d9f8573ce3daf0015e3e400","ci",4,20,"0.1",20,1,1,0.5
"5d9f8573ce3daf0015e3e400","ci",29,21,"0.1",21,1,1,0.6
"5d9f8573ce3daf0015e3e400","ci",23,22,"0.1",22,1,1,0.75
"5d9f8573ce3daf0015e3e400","ci",17,23,"0.1",23,1,1,0.8
"5d9f8573ce3daf0015e3e400","ci",11,24,"0.1",24,1,1,0.888888888888889
"5d9f8573ce3daf0015e3e400","ci",5,25,"0.1",25,1,1,0.25
"5d9f8573ce3daf0015e3e400","ci",30,26,"0.1",26,1,1,0.857142857142857
"5d9f8573ce3daf0015e3e400","ci",24,27,"0.1",27,1,1,0.857142857142857
"5d9f8573ce3daf0015e3e400","ci",18,28,"0.1",28,1,1,0
"5d9f8573ce3daf0015e3e400","ci",12,29,"0.1",29,1,1,0.571428571428571
"5d9f8573ce3daf0015e3e400","ci",6,30,"0.1",30,1,1,0.857142857142857
"5dd33261fce6063503a61fd2","ci",9,1,"0.1",1,1,1,0.222222222222222
"5dd33261fce6063503a61fd2","ci",18,2,"0.1",2,1,1,0
"5c66e2f32eacb200019ee394","ci",23,1,"0.1",1,1,1,1
"5dd33261fce6063503a61fd2","ci",27,3,"0.1",3,1,1,0.25
"5dd33261fce6063503a61fd2","ci",5,4,"0.1",4,1,1,0.25
"5c66e2f32eacb200019ee394","ci",15,2,"0.1",2,1,1,0.4
"5dd33261fce6063503a61fd2","ci",14,5,"0.1",5,1,1,0
"5c66e2f32eacb200019ee394","ci",7,3,"0.1",3,1,1,0.769230769230769
"5dd33261fce6063503a61fd2","ci",23,6,"0.1",6,1,1,0.333333333333333
"5dd33261fce6063503a61fd2","ci",1,7,"0.1",7,1,1,0.4
"5c66e2f32eacb200019ee394","ci",30,4,"0.1",4,1,1,0.8
"5dd33261fce6063503a61fd2","ci",10,8,"0.1",8,1,1,0
"5c66e2f32eacb200019ee394","ci",22,5,"0.1",5,1,1,0.615384615384615
"5dd33261fce6063503a61fd2","ci",19,9,"0.1",9,1,1,0
"5c66e2f32eacb200019ee394","ci",14,6,"0.1",6,1,1,0.909090909090909
"5dd33261fce6063503a61fd2","ci",28,10,"0.1",10,1,1,0
"5dd33261fce6063503a61fd2","ci",6,11,"0.1",11,1,1,0.4
"5c66e2f32eacb200019ee394","ci",6,7,"0.1",7,1,1,0.8
"5dd33261fce6063503a61fd2","ci",15,12,"0.1",12,1,1,1
"5c66e2f32eacb200019ee394","ci",29,8,"0.1",8,1,1,0.857142857142857
"5c66e2f32eacb200019ee394","ci",21,9,"0.1",9,1,1,0.444444444444444
"5dd33261fce6063503a61fd2","ci",24,13,"0.1",13,1,1,0.4
"5c66e2f32eacb200019ee394","ci",13,10,"0.1",10,1,1,0.875
"5dd33261fce6063503a61fd2","ci",2,14,"0.1",14,1,1,0.285714285714286
"5dd33261fce6063503a61fd2","ci",11,15,"0.1",15,1,1,0
"5c66e2f32eacb200019ee394","ci",5,11,"0.1",11,1,1,0.666666666666667
"5dd33261fce6063503a61fd2","ci",20,16,"0.1",16,1,1,0.333333333333333
"5d1d5027558790001a6d4dea","ci",9,31,"0.1",1,2,1,0.857142857142857
"5d1e47055538e6001a842e3b","ci",15,1,"0.1",1,1,1,0.333333333333333
"5d1d5027558790001a6d4dea","ci",18,32,"0.1",2,2,1,0.5
"5c66e2f32eacb200019ee394","ci",28,12,"0.1",12,1,1,0.769230769230769
"5d1d5027558790001a6d4dea","ci",27,33,"0.1",3,2,1,0.727272727272727
"5d1d5027558790001a6d4dea","ci",5,34,"0.1",4,2,1,0.25
"5dd33261fce6063503a61fd2","ci",29,17,"0.1",17,1,1,0.25
"5c66e2f32eacb200019ee394","ci",20,13,"0.1",13,1,1,0.727272727272727
"5dd33261fce6063503a61fd2","ci",7,18,"0.1",18,1,1,0
"5d1d5027558790001a6d4dea","ci",14,35,"0.1",5,2,1,0.75
"5d1d5027558790001a6d4dea","ci",23,36,"0.1",6,2,1,0.888888888888889
"5dd33261fce6063503a61fd2","ci",16,19,"0.1",19,1,1,0
"5d1d5027558790001a6d4dea","ci",1,37,"0.1",7,2,1,0.666666666666667
"5c66e2f32eacb200019ee394","ci",12,14,"0.1",14,1,1,0.833333333333333
"5d1d5027558790001a6d4dea","ci",10,38,"0.1",8,2,1,0
"5d1d5027558790001a6d4dea","ci",19,39,"0.1",9,2,1,0.333333333333333
"5dd33261fce6063503a61fd2","ci",25,20,"0.1",20,1,1,0.333333333333333
"5c66e2f32eacb200019ee394","ci",4,15,"0.1",15,1,1,0.75
"5d1e47055538e6001a842e3b","ci",30,2,"0.1",2,1,1,0.666666666666667
"5dd33261fce6063503a61fd2","ci",3,21,"0.1",21,1,1,0.4
"5d1d5027558790001a6d4dea","ci",28,40,"0.1",10,2,1,0.444444444444444
"5c66e2f32eacb200019ee394","ci",27,16,"0.1",16,1,1,0.875
"5d1d5027558790001a6d4dea","ci",6,41,"0.1",11,2,1,1
"5c994ca30225a000167bd288","ci",8,61,"0.1",1,3,1,0.666666666666667
"5dd33261fce6063503a61fd2","ci",12,22,"0.1",22,1,1,0.333333333333333
"5d1d5027558790001a6d4dea","ci",15,42,"0.1",12,2,1,1
"5c66e2f32eacb200019ee394","ci",19,17,"0.1",17,1,1,0.833333333333333
"5d1d5027558790001a6d4dea","ci",24,43,"0.1",13,2,1,0.888888888888889
"5c994ca30225a000167bd288","ci",16,62,"0.1",2,3,1,0.4
"5c994ca30225a000167bd288","ci",24,63,"0.1",3,3,1,1
