"trial","effect_size","mu","region_idx","nregions","method","p","reject","true"
1,0.3,0,1,12,"uncorrected",0.530644195282626,FALSE,TRUE
1,0.3,0,1,12,"bh",0.546898558012076,FALSE,TRUE
1,0.3,0,2,12,"uncorrected",0.0212396982458974,TRUE,TRUE
1,0.3,0,2,12,"bh",0.254876378950768,FALSE,TRUE
1,0.3,0.9,3,12,"uncorrected",0.404284881625786,FALSE,FALSE
1,0.3,0.9,3,12,"bh",0.546898558012076,FALSE,FALSE
1,0.3,0,4,12,"uncorrected",0.546898558012076,FALSE,TRUE
1,0.3,0,4,12,"bh",0.546898558012076,FALSE,TRUE
1,0.3,0,5,12,"uncorrected",0.164309422464732,FALSE,TRUE
1,0.3,0,5,12,"bh",0.399215053789775,FALSE,TRUE
1,0.3,0,6,12,"uncorrected",0.536081327812924,FALSE,TRUE
1,0.3,0,6,12,"bh",0.546898558012076,FALSE,TRUE
1,0.3,0.9,7,12,"uncorrected",0.199607526894887,FALSE,FALSE
1,0.3,0.9,7,12,"bh",0.399215053789775,FALSE,FALSE
1,0.3,0,8,12,"uncorrected",0.467448499067661,FALSE,TRUE
1,0.3,0,8,12,"bh",0.546898558012076,FALSE,TRUE
1,0.3,0.9,9,12,"uncorrected",0.534042431105602,FALSE,FALSE
1,0.3,0.9,9,12,"bh",0.546898558012076,FALSE,FALSE
1,0.3,0,10,12,"uncorrected",0.188667359614622,FALSE,TRUE
1,0.3,0,10,12,"bh",0.399215053789775,FALSE,TRUE
1,0.3,0.9,11,12,"uncorrected",0.19300165268668,FALSE,FALSE
1,0.3,0.9,11,12,"bh",0.399215053789775,FALSE,FALSE
1,0.3,0.9,12,12,"uncorrected",0.17193801079024,FALSE,FALSE
1,0.3,0.9,12,12,"bh",0.399215053789775,FALSE,FALSE
2,0.45,0,1,12,"uncorrected",0.768016222765416,FALSE,TRUE
2,0.45,0,1,12,"bh",0.837835879380454,FALSE,TRUE
2,0.45,0,2,12,"uncorrected",0.461431691473223,FALSE,TRUE
2,0.45,0,2,12,"bh",0.553718029767868,FALSE,TRUE
2,0.45,1.2,3,12,"uncorrected",0.019047816578245,TRUE,FALSE
2,0.45,1.2,3,12,"bh",0.07619126631298,FALSE,FALSE
2,0.45,1.2,4,12,"uncorrected",0.016824438014841,TRUE,FALSE
2,0.45,1.2,4,12,"bh",0.07619126631298,FALSE,FALSE
2,0.45,0,5,12,"uncorrected",0.870494777645083,FALSE,TRUE
2,0.45,0,5,12,"bh",0.870494777645083,FALSE,TRUE
2,0.45,0,6,12,"uncorrected",0.297698202170454,FALSE,TRUE
2,0.45,0,6,12,"bh",0.396930936227271,FALSE,TRUE
2,0.45,0,7,12,"uncorrected",0.172362642861213,FALSE,TRUE
2,0.45,0,7,12,"bh",0.258543964291819,FALSE,TRUE
2,0.45,1.2,8,12,"uncorrected",0.0577384794636779,FALSE,FALSE
2,0.45,1.2,8,12,"bh",0.138572350712827,FALSE,FALSE
2,0.45,1.2,9,12,"uncorrected",0.0838552605445671,FALSE,FALSE
2,0.45,1.2,9,12,"bh",0.161011468037273,FALSE,FALSE
2,0.45,1.2,10,12,"uncorrected",0.0939233563550759,FALSE,FALSE
2,0.45,1.2,10,12,"bh",0.161011468037273,FALSE,FALSE
2,0.45,1.2,11,12,"uncorrected",0.0447456098866193,TRUE,FALSE
