"id","prolific_pid","session_id","responses","tp","tn","fp","fn","cumulative_pay","condition","incentive","trial","duration","flags"
10311,"e95a5689","jbjhbu412","7",1,4,0,-7,2600,"ci",5,4,11.689,""
10312,"e95a5689","jbjhbu412","1,2",2,5,0,-5,2680,"ci",5,5,5.349,""
10313,"e95a5689","jbjhbu412","9,5,7,4,3,10,11",7,5,0,0,2880,"ci",5,6,12.172,""
10314,"e95a5689","jbjhbu412","9,3",2,6,0,-4,2720,"ci",5,7,7.157,""
10315,"e95a5689","jbjhbu412","5,12",2,8,0,-2,2800,"ci",5,8,12.974,""
10316,"e95a5689","jbjhbu412","9,8,5,3",4,7,0,-1,2840,"ci",5,9,4.751,""
10268,"1a635f28","87ft1uy3gjhdgsa","8,2",2,6,0,0,160,"ci",5,9,5.675,""
10269,"1a635f28","87ft1uy3gjhdgsa","7,4,6,5",4,3,0,-1,280,"ci",5,18,12.95,""
10270,"1a635f28","87ft1uy3gjhdgsa","5,7,6,1",4,3,0,-1,400,"ci",5,27,19.801,""
10271,"b76b646e","831urhfba","6,7,2",3,3,0,-2,80,"ci",5,24,6.823,""
10272,"b76b646e","831urhfba","1,8,5,3",4,3,0,-1,200,"ci",5,12,3.468,""
10273,"e95a5689","jbjhbu412","3",1,3,0,-4,0,"ci",5,1,36.08,""
10274,"e95a5689","jbjhbu412","2",1,4,0,-3,40,"ci",5,2,10.697,""
10275,"e95a5689","jbjhbu412","3",1,5,0,-2,120,"ci",5,3,6.551,""
10276,"e95a5689","jbjhbu412","4,2",2,4,0,-2,200,"ci",5,4,8.701,""
10277,"e95a5689","jbjhbu412","1",1,4,0,-3,240,"ci",5,5,4.611,""
10278,"e95a5689","jbjhbu412","8,4",2,3,0,-3,280,"ci",5,6,18.632,""
10279,"e95a5689","jbjhbu412","8,6",2,4,0,-2,360,"ci",5,7,4.001,""
10280,"e95a5689","jbjhbu412","3,7",2,6,0,0,520,"ci",5,8,4.447,""
10281,"e95a5689","jbjhbu412","8,2",2,6,0,0,680,"ci",5,9,4.196,""
10282,"e95a5689","jbjhbu412","2",1,3,0,-4,680,"ci",5,10,2.718,""
10283,"e95a5689","jbjhbu412","4",1,6,0,-1,800,"ci",5,11,2.609,""
10284,"e95a5689","jbjhbu412","1,8,3",3,3,0,-2,880,"ci",5,12,5.186,""
10285,"e95a5689","jbjhbu412","3",1,4,0,-3,920,"ci",5,13,3.145,""
