"session_id","participant_id","status","started_datetime","completed_date_time","time_taken","age","num_approvals","num_rejections","prolific_score","reviewed_at_datetime","entered_code","Country of Birth","Current Country of Residence","Employment Status","First Language","Fluent languages","Nationality","Sex","Student Status"
"5e9cfc0b7274e522e6fb507f","43276eae","APPROVED",2020-04-20 01:34:05,2020-04-20 02:12:46,"2320.395",21,169,1,100,2020-05-11 15:35:08,"29ABE0A0","United States","United States","Full-Time","Spanish","English, Spanish","United States","Male","No"
"5e9cfc25e162fd224093944c","3bb9d0db","APPROVED",2020-04-20 01:35:41,2020-04-20 02:06:37,"1856.016",39,8,0,100,2020-05-11 15:35:11,"29ABE0A0","Spain","Mexico","Unemployed (and job seeking)","Spanish","Catalan, English, Spanish","Spain","Male","No"
"5e9daeb53cfc680bcf5bd92b","559fff32","APPROVED",2020-04-20 14:16:58,2020-04-20 14:46:13,"1755.005",19,32,0,100,2020-05-11 15:41:54,"29ABE0A0","Estonia","Estonia","Other","Estonian","Estonian, English","Estonia","Female","Yes"
"5e9daeb9ac750d0bc4ae3611","061ef5e3","RETURNED",2020-04-20 14:16:27,NA,"1826910.759504",39,149,2,99,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5e9daeba7cf6b00be817532a","64cf6e91","APPROVED",2020-04-20 14:16:26,2020-04-20 14:38:08,"1302.658",24,12,0,100,2020-05-11 15:41:55,"29ABE0A0","Italy","Italy","Part-Time","Italian","English, Italian","Italy","Female","Yes"
"5e9daeba4b0db10c0938dcbb","2f529add","RETURNED",2020-04-20 14:16:51,NA,"1826886.96297",24,67,0,100,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5e9daebb4457060c38d5d2ee","117832ef","REJECTED",2020-04-20 14:16:29,2020-04-20 14:33:36,"1026.672",26,500,4,100,2020-04-20 18:53:01,"NOCODE","Portugal","Portugal","Full-Time","Portuguese","English, French, Spanish, Portuguese","Portugal","Female","No"
"5e9daebbcc1b580b721d6225","1a87ca7c","RETURNED",2020-04-20 14:16:27,NA,"1826910.483906",20,9,0,100,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5e9daebc16f6d90b795c6dd4","706ad3b9","APPROVED",2020-04-20 14:16:28,2020-04-20 14:46:50,"1822.006",30,194,1,100,2020-05-11 15:41:56,"29ABE0A0","Poland","Poland","Full-Time","Polish","English, Polish","Poland","Male","No"
"5e9daebd3cfc680b78a34b53","276d18f6","RETURNED",2020-04-20 14:16:34,NA,"1826903.363962",63,158,2,100,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5e9daebf32b4a20bda7aaf89","7debf11b","APPROVED",2020-04-20 14:16:31,2020-04-20 14:48:11,"1900.215",22,82,0,100,2020-05-11 15:41:57,"29ABE0A0","Portugal","Portugal","Unemployed (and job seeking)","Portuguese","Portuguese, English, Spanish","Portugal","Male","Yes"
"5e9daebf7cf6b00be817532b","0bef11a2","APPROVED",2020-04-20 14:21:18,2020-04-20 14:36:55,"937.554",20,19,0,100,2020-05-11 15:41:59,"29ABE0A0","Denmark","Poland","Full-Time","Polish","English, Polish","Poland","Female","No"
"5e9daec486242f0c34a0ab5b","7f493fda","RETURNED",2020-04-20 14:16:41,NA,"1826896.492846",24,6,2,90,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5e9daec50fb1590bd8b6feaa","21894730","APPROVED",2020-04-20 14:16:37,2020-04-20 14:42:58,"1581.192",18,18,0,100,2020-05-11 15:42:00,"29ABE0A0","Poland","Poland","Unemployed (and job seeking)","Polish","Polish, English","Poland","Male","Yes"
"5e9daec5c293770aee39a2fb","fd0a3b57","APPROVED",2020-04-20 14:16:40,2020-04-20 14:33:30,"1009.997",30,6,0,100,2020-05-11 15:42:01,"29ABE0A0","United Kingdom","United Kingdom","Full-Time","English","English","United Kingdom","Male","No"
"5e9daec55597de0c0723fa57","b62223bb","APPROVED",2020-04-20 14:16:39,2020-04-20 14:36:10,"1170.48",38,326,3,100,2020-05-11 15:42:02,"29ABE0A0","Italy","Italy","Part-Time","Italian","English, Italian","Italy","Female","No"
"5e9daec76c094a0bd96b9828","c2f1f088","RETURNED",2020-04-20 14:16:39,NA,"1826899.072425",29,20,0,100,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5e9daec73b9df80bb5abf5ed","19b8a1af","APPROVED",2020-04-20 14:16:39,2020-04-20 15:33:17,"4598.472",19,138,0,100,2020-05-11 15:42:03,"29ABE0A0","United Kingdom","United Kingdom","Unemployed (and job seeking)","English","English","United Kingdom","Male","Yes"
"5e9daec73aeb950b7bf75c69","7fd285de","APPROVED",2020-04-20 14:16:39,2020-04-20 14:36:37,"1197.483",23,84,1,100,2020-05-11 15:42:04,"29ABE0A0","Poland","Poland","Full-Time","Polish","Polish, English","Poland","Male","No"
"5e9daec7d8d8010be8de3e6d","75e63247","APPROVED",2020-04-20 14:16:39,2020-04-20 14:41:32,"1493.066",23,70,0,100,2020-05-11 15:42:05,"29ABE0A0","Greece","Greece","Other","Greek","Greek, English","Greece","Male","Yes"
"5e9daec7c8df730bd44671b9","8c19ccab","APPROVED",2020-04-20 14:16:58,2020-04-20 14:46:29,"1770.741",50,130,0,100,2020-05-11 15:42:06,"29ABE0A0","Portugal","Portugal","Full-Time","Portuguese","English","Portugal","Female","No"
"5e9daec82b48630bb30a0346","c247910d","RETURNED",2020-04-20 14:24:59,NA,"1826399.381597",31,47,0,100,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
