"session_id","participant_id","status","started_datetime","completed_date_time","time_taken","age","num_approvals","num_rejections","prolific_score","reviewed_at_datetime","entered_code","Country of Birth","Current Country of Residence","Employment Status","First Language","Nationality","Sex","Student Status"
"5ebac7a6eabcad0446b146b0","0f0b8f35","RETURNED",2020-05-12 15:58:33,NA,"978013.705402",29,93,2,99,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5ebac8161725910429dba59c","c00c1883","RETURNED",2020-05-12 16:00:30,NA,"977896.486546",28,66,1,100,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5ebac86bae6d1304efdf74c6","9cf10bbb","AWAITING REVIEW",2020-05-12 16:01:54,2020-05-12 16:26:08,"1454.165",49,63,0,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Female","Yes"
"5ebac8c9730d1c0506c99ee5","0480c5bb","AWAITING REVIEW",2020-05-12 16:03:24,2020-05-12 17:24:16,"4852.617",27,12,0,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Part-Time","English","United Kingdom","Male","No"
"5ebad19ed63dde04a994f1a5","39384443","AWAITING REVIEW",2020-05-12 16:41:04,2020-05-12 16:54:39,"814.802",25,28,0,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Unemployed (and job seeking)","English","United Kingdom","Female","No"
"5ebad1a1e55c63055d3c7b24","8c28baed","RETURNED",2020-05-12 16:51:05,NA,"974861.512163",24,40,0,100,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5ebad1a1948ce105746d2a91","95727120","AWAITING REVIEW",2020-05-12 16:48:07,2020-05-12 17:30:03,"2515.722",28,277,1,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Other","English","United Kingdom","Female","No"
"5ebad1a2d80c4d055aba1cfc","989d7e76","AWAITING REVIEW",2020-05-12 16:42:09,2020-05-12 17:15:31,"2002.121",34,490,1,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Unemployed (and job seeking)","English","United Kingdom","Female","No"
"5ebad1a2d1f322060ffc5fed","fc73cbce","AWAITING REVIEW",2020-05-12 16:41:06,2020-05-12 16:56:10,"903.62",21,262,2,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Unemployed (and job seeking)","English","United Kingdom","Male","Yes"
"5ebad1a87ceff504faf5da5f","11b2d029","AWAITING REVIEW",2020-05-12 16:41:14,2020-05-12 17:17:53,"2199.177",34,164,5,96,NA,"29ABE0A0","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Male","No"
