"session_id","participant_id","status","started_datetime","completed_date_time","time_taken","age","num_approvals","num_rejections","prolific_score","reviewed_at_datetime","entered_code","Country of Birth","Current Country of Residence","Employment Status","First Language","Fluent languages","Nationality","Sex","Student Status"
"5eb9a3140c0c950b4e697831","f631f54f","RETURNED",2020-05-11 19:10:14,NA,"1033623.089444",36,136,0,100,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5eb9a315cff9760bec174616","53e9d9e4","AWAITING REVIEW",2020-05-11 19:10:20,2020-05-11 19:57:42,"2841.525",36,16,2,92,NA,"29ABE0A0","South Africa","South Africa","Unemployed (and job seeking)","English","English","South Africa","Female","No"
"5eb9a6dd7aced20cc0d709f9","8f0798f2","AWAITING REVIEW",2020-05-11 19:26:21,2020-05-11 19:50:26,"1444.661",18,52,3,96,NA,"29ABE0A0","Poland","Poland","Unemployed (and job seeking)","Polish","Polish, English","Poland","Male","Yes"
"5eb9e16a1d81a6121743fa92","34d16fcb","AWAITING REVIEW",2020-05-11 23:36:10,2020-05-12 00:00:38,"1468.692",20,39,0,100,NA,"29ABE0A0","Czech Republic","Czech Republic","Full-Time","Czech","Czech, English","Czech Republic","Male","No"
"5eb9e16f2be9f8121df511b4","a22b69f0","AWAITING REVIEW",2020-05-11 23:43:08,2020-05-12 00:49:48,"4000.772",25,12,0,100,NA,"29ABE0A0","Mexico","Mexico","Unemployed (and job seeking)","Spanish","English, Spanish","Mexico","Male","No"
"5eb9e16fc5c4db119780291d","c5d7aa18","TIMED-OUT",2020-05-11 23:36:15,NA,"1017662.274968",21,53,1,100,NA,NA,"Portugal","Portugal","Full-Time","Portuguese","English, Portuguese","Portugal","Female","Yes"
"5eb9e1701d81a6121743fa93","80b73d4a","AWAITING REVIEW",2020-05-11 23:36:16,2020-05-12 00:28:06,"3109.372",31,6,0,100,NA,"29ABE0A0","Portugal","Portugal","Unemployed (and job seeking)","Portuguese","Portuguese, English","Portugal","Male","No"
"5eb9e1725f238811f4d90e62","0a3d3820","AWAITING REVIEW",2020-05-11 23:36:19,2020-05-12 01:03:20,"5220.325",39,169,0,100,NA,"29ABE0A0","Pakistan","United Kingdom","Unemployed (and job seeking)","Urdu","Urdu, English","United Kingdom","Male","No"
"5eb9e172e233381145da274d","80989403","AWAITING REVIEW",2020-05-11 23:38:24,2020-05-12 00:00:34,"1330.22",20,122,0,100,NA,"29ABE0A0","Spain","Spain","Other","Spanish","Catalan, English, Spanish","Spain","Male","Yes"
"5eb9e1723af372114574a965","65c86898","AWAITING REVIEW",2020-05-11 23:41:39,2020-05-12 00:49:08,"4049.567",36,138,0,100,NA,"29ABE0A0","Zimbabwe","Japan","Part-Time","English","English","Zimbabwe","Male","No"
