"session_id","participant_id","status","started_datetime","completed_date_time","time_taken","age","num_approvals","num_rejections","prolific_score","reviewed_at_datetime","entered_code","Country of Birth","Current Country of Residence","Employment Status","First Language","Nationality","Sex","Student Status"
"5ebac1ca111567036b98fa0c","8e7dde02","RETURNED",2020-05-12 15:33:42,NA,"976684.704736",48,8,0,100,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5ebac2135b408e037af8c017","b5fea69b","AWAITING REVIEW",2020-05-12 15:34:52,2020-05-12 15:57:32,"1359.665",21,73,0,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Part-Time","English","United Kingdom","Female","Yes"
"5ebac68f52712703e7034a80","269944db","AWAITING REVIEW",2020-05-12 15:53:52,2020-05-12 16:21:57,"1685.037",39,81,0,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Part-Time","English","United Kingdom","Female","No"
"5ebad1f7c72051063f2bf402","595b1549","AWAITING REVIEW",2020-05-12 16:42:31,2020-05-12 17:24:22,"2510.398",20,14,0,100,NA,"29ABE0A0","Canada","Canada","Full-Time","English","Canada","Male","No"
"5ebad1f8b105f105bdfb8e90","f4cdd3b6","AWAITING REVIEW",2020-05-12 16:42:32,2020-05-12 16:57:34,"901.56",23,88,0,100,NA,"29ABE0A0","Belgium","Switzerland","Not in paid work (e.g. homemaker', 'retired or disabled)","English","United Kingdom","Female","Yes"
"5ebad1fb9ca044051cb32f1f","5f0c63db","AWAITING REVIEW",2020-05-12 16:42:35,2020-05-12 17:12:40,"1804.77",19,66,0,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Other","English","United Kingdom","Female","Yes"
"5ebad1fe5b408e057451bb99","23d98ba1","AWAITING REVIEW",2020-05-12 16:42:45,2020-05-12 17:19:33,"2207.659",26,166,0,100,NA,"29ABE0A0","Kuwait","Canada","Full-Time","English","Canada","Female","No"
"5ebad2016befc105c1de1e85","fe160cfb","AWAITING REVIEW",2020-05-12 16:42:41,2020-05-12 17:47:12,"3871.306",32,152,0,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Not in paid work (e.g. homemaker', 'retired or disabled)","English","United Kingdom","Female","No"
"5ebad20274f38105db3a1083","fa798bb0","AWAITING REVIEW",2020-05-12 16:42:41,2020-05-12 17:03:08,"1226.278",34,176,0,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Male","No"
"5ebad2043576b504a29c8dbb","f8e8e82c","AWAITING REVIEW",2020-05-12 16:42:44,2020-05-12 17:21:07,"2303.279",19,35,0,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Part-Time","English","United Kingdom","Female","Yes"
"5ebad204e7d9a805feec0d1f","ca7be239","AWAITING REVIEW",2020-05-12 16:42:44,2020-05-12 17:12:59,"1815.389",26,15,0,100,NA,"29ABE0A0","Finland",NA,"Part-Time","English","United Kingdom","Male","Yes"
"5ebad20777b27305d58d1526","4e3cdb65","AWAITING REVIEW",2020-05-12 16:42:54,2020-05-12 17:04:16,"1282.711",38,15,0,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Not in paid work (e.g. homemaker', 'retired or disabled)","English","United Kingdom","Male","No"
"5ebad208ebfffa0505dc318f","4fd33c43","AWAITING REVIEW",2020-05-12 16:42:50,2020-05-12 17:06:22,"1412.441",43,86,2,99,NA,"29ABE0A0","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Female","No"
"5ebad2082445c0062c8f13a1","8357eed0","AWAITING REVIEW",2020-05-12 16:42:48,2020-05-12 17:01:56,"1148.153",37,269,4,99,NA,"29ABE0A0","Ireland","Ireland","Part-Time","English","Ireland","Male","No"
"5ebad209d548a705ccf181e1","1ccb735b","AWAITING REVIEW",2020-05-12 16:42:49,2020-05-12 17:19:27,"2197.74",21,58,0,100,NA,"29ABE0A0","Oman","United Kingdom","Other","English","India","Male","Yes"
"5ebad20ae5f14a05f23bf08b","bf1d0da7","REJECTED",2020-05-12 16:42:55,2020-05-12 17:00:54,"1078.412",22,10,1,97,2020-05-13 00:12:20,"NOCODE","United Kingdom",NA,"Full-Time","English","United Kingdom","Female","No"
"5ebad20b203254055b1c0b0d","e036d6e2","AWAITING REVIEW",2020-05-12 16:42:54,2020-05-12 17:30:32,"2858.643",34,21,0,100,NA,"29ABE0A0","South Africa","United Kingdom","Full-Time","English","South Africa","Male","No"
"5ebad20d82aae6049e1f88f3","664627df","AWAITING REVIEW",2020-05-12 16:42:57,2020-05-12 17:08:05,"1508.156",21,14,0,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Not in paid work (e.g. homemaker', 'retired or disabled)","English","United Kingdom","Female","Yes"
"5ebad20d07f1c5065052c7be","6efe32f1","AWAITING REVIEW",2020-05-12 16:42:53,2020-05-12 17:15:50,"1976.901",24,13,0,100,NA,"29ABE0A0","Netherlands","Canada","Other","English","Indonesia","Female","No"
"5ebad20dd63dde055f7cbc14","2854ab14","AWAITING REVIEW",2020-05-12 16:42:58,2020-05-12 17:09:21,"1583.059",26,48,0,100,NA,"29ABE0A0","Canada","Canada","Other","English","Canada","Female","Yes"
"5ebad20f994ee206341af7ad","d3725529","AWAITING REVIEW",2020-05-12 16:42:55,2020-05-12 17:19:57,"2221.603",26,158,0,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Female","Yes"
"5ebad21016e1f205c1b08b6e","60aa1a3d","AWAITING REVIEW",2020-05-12 16:42:56,2020-05-12 18:19:35,"5799.521",37,30,0,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Male","No"
"5ebad2106939f2056d44adf2","0ea0b17d","RETURNED",2020-05-12 16:42:58,2020-05-12 16:58:14,"915.53",32,13,0,100,NA,"NOCODE","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5ebad2137e02a0059317a235","6a15efb1","AWAITING REVIEW",2020-05-12 16:42:59,2020-05-12 17:14:27,"1888.024",50,55,0,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Female","Yes"
"5ebad21362c48e05d6a78cc1","69884704","AWAITING REVIEW",2020-05-12 16:43:04,2020-05-12 17:13:08,"1804.283",67,306,0,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Not in paid work (e.g. homemaker', 'retired or disabled)","English","United Kingdom","Male","No"
"5ebad214ae6d1306263098f1","e29c9ad0","TIMED-OUT",2020-05-12 16:43:00,NA,"972526.772158",19,40,1,100,NA,NA,"Korea","Canada","Unemployed (and job seeking)","English","Korea","Male","Yes"
"5ebad215649677050aadb7bc","93be40e2","AWAITING REVIEW",2020-05-12 16:43:10,2020-05-12 17:39:13,"3363.285",24,12,0,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Due to start a new job within the next month","English","United Kingdom","Female","No"
"5ebad2166503a104f1d76822","56688b71","AWAITING REVIEW",2020-05-12 16:43:05,2020-05-12 17:13:17,"1811.834",48,121,1,100,NA,"29ABE0A0","Bermuda","United Kingdom","Part-Time","English","United Kingdom","Female","No"
"5ebad218d1ba38064715eedf","abb8eddf","RETURNED",2020-05-12 16:43:04,NA,"972522.86048",26,153,0,100,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5ebad2195c15900623713350","064a3791","AWAITING REVIEW",2020-05-12 16:43:05,2020-05-12 17:20:50,"2265.084",23,13,0,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Male","No"
"5ebad21949f52105e117b67c","46a7a701","RETURNED",2020-05-12 16:43:05,NA,"972522.591902",28,119,0,100,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5ebad2761b9edb06149b015e","2c690190","RETURNED",2020-05-12 16:44:52,NA,"972415.246984",59,540,0,100,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5ebad6e47ed4f8064d7e73f9","64a8e318","AWAITING REVIEW",2020-05-12 17:03:37,2020-05-12 17:33:06,"1769.517",44,20,0,100,NA,"29ABE0A0","South Africa","United Kingdom","Unemployed (and job seeking)","English","United Kingdom","Female","No"
"5ebae0c9ed76220778456be7","82e536a9","AWAITING REVIEW",2020-05-12 17:47:02,2020-05-12 18:18:55,"1912.789",31,469,2,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Male","No"
"5ebae6c5d2bedd08103db373","e2a8ac57","AWAITING REVIEW",2020-05-12 18:11:23,2020-05-12 18:53:16,"2513.039",51,418,1,100,NA,"29ABE0A0","Germany","United Kingdom","Not in paid work (e.g. homemaker', 'retired or disabled)","English","United Kingdom","Female","No"
"5ebae6c9c72051088d5c8c4c","1159ff26","RETURNED",2020-05-12 18:11:26,NA,"967221.72125",18,29,1,99,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5ebae6c9a9b65908914ec22c","f83ed6c3","AWAITING REVIEW",2020-05-12 18:11:27,2020-05-12 18:32:03,"1235.617",26,123,3,98,NA,"29ABE0A0","United Kingdom","United Kingdom","Unemployed (and job seeking)","English","United Kingdom","Male","Yes"
"5ebae6ca0edc6f087e539867","cdcad368","AWAITING REVIEW",2020-05-12 18:11:26,2020-05-12 18:40:45,"1759.112",35,237,2,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Female","No"
"5ebae6ca2445c00810fe32d0","a40d561c","AWAITING REVIEW",2020-05-12 18:11:26,2020-05-12 18:21:44,"617.725",19,16,0,100,NA,"29ABE0A0","United States","United States","Full-Time","English","United States","Male","No"
"5ebae6ca6bda4508702f608c","e9f6af07","AWAITING REVIEW",2020-05-12 18:11:22,2020-05-12 18:40:13,"1731.005",39,28,1,99,NA,"29ABE0A0","United Kingdom","United Kingdom","Part-Time","English","Ireland","Male","No"
"5ebae6cb8f5bae08b47fa2fc","5314e885","AWAITING REVIEW",2020-05-12 18:11:25,2020-05-12 19:06:37,"3311.895",28,104,2,99,NA,"29ABE0A0","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Male","No"
"5ebae6cb17259108518c0a0d","e52dac2b","AWAITING REVIEW",2020-05-12 18:11:26,2020-05-12 18:45:47,"2060.932",34,333,18,92,NA,"29ABE0A0","United Kingdom","United Kingdom","Not in paid work (e.g. homemaker', 'retired or disabled)","English","United Kingdom","Female","No"
"5ebae6cb35a992085c11cc52","bc61e8ab","AWAITING REVIEW",2020-05-12 18:11:23,2020-05-12 19:05:08,"3224.392",38,114,1,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Female","No"
"5ebae6cb51d7e708b051e1cd","30af9e5b","RETURNED",2020-05-12 18:11:25,NA,"967222.261268",36,95,0,100,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5ebae6cb3c9fde083bee7340","8b206780","AWAITING REVIEW",2020-05-12 18:11:25,2020-05-12 18:32:10,"1244.601",27,43,0,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Part-Time","English","United Kingdom","Female","No"
"5ebae6cc569ac108f4d0f260","b2eb6a14","AWAITING REVIEW",2020-05-12 18:11:24,2020-05-12 19:25:25,"4440.529",56,257,3,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Full-Time","English","United Kingdom","Female","No"
"5ebae6cc7ceff508097b6f98","0650d76f","AWAITING REVIEW",2020-05-12 18:11:34,2020-05-12 18:30:02,"1108.253",61,150,2,99,NA,"29ABE0A0","United Kingdom","United Kingdom","Part-Time","English","United Kingdom","Female","No"
"5ebae6cdff8da307c80f2ddf","063ff5d5","RETURNED",2020-05-12 18:11:31,NA,"967217.003455",52,144,0,100,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5ebae6cd37ff170899449e39","418cb7e8","AWAITING REVIEW",2020-05-12 18:11:25,2020-05-12 18:32:42,"1277.142",21,109,0,100,NA,"29ABE0A0","United States","United States","Part-Time","English","United States","Male","Yes"
"5ebae6cd8314b407ea123e8c","57532f53","AWAITING REVIEW",2020-05-12 18:11:29,2020-05-12 18:36:21,"1492.072",27,61,0,100,NA,"29ABE0A0","United States","United States","Full-Time","English","United States","Male","Yes"
"5ebae6cd7e02a007e9c781e8","2cad54d8","AWAITING REVIEW",2020-05-12 18:11:25,2020-05-12 18:50:27,"2341.949",24,39,0,100,NA,"29ABE0A0","United States","United States","Part-Time","English","United States","Male","Yes"
