"session_id","participant_id","status","started_datetime","completed_date_time","time_taken","age","num_approvals","num_rejections","prolific_score","reviewed_at_datetime","entered_code","Country of Birth","Current Country of Residence","Employment Status","First Language","Fluent languages","Nationality","Sex","Student Status"
"5eb9e63797f65f1264c661d1","f8a30f77","AWAITING REVIEW",2020-05-11 23:56:58,2020-05-12 00:31:15,"2056.671",21,1,0,100,NA,"29ABE0A0","Chile","Chile",NA,"Spanish","English, Spanish","Chile","Male","Yes"
"5eb9e64217654311d5c94359","f5f7dae1","AWAITING REVIEW",2020-05-11 23:58:18,2020-05-12 00:39:38,"2480.459",25,45,1,100,NA,"29ABE0A0","Portugal","Portugal","Full-Time","Portuguese","English, Portuguese","Portugal","Male","No"
"5eb9e68b99188b121c5f0e01","1a18eff9","RETURNED",2020-05-11 23:58:05,NA,"1030558.378589",29,41,1,100,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5eb9e91a81d74212da8905df","71440712","AWAITING REVIEW",2020-05-12 00:08:58,2020-05-12 00:39:57,"1859.355",26,29,0,100,NA,"29ABE0A0","Poland","Poland","Other","Polish","English, Polish","Poland","Male","No"
"5ebaa9fa1269c70008eefddd","4abdbf77","AWAITING REVIEW",2020-05-12 13:52:03,2020-05-12 14:19:02,"1618.8",19,19,0,100,NA,"29ABE0A0","Greece","Greece","Part-Time","Greek","English, German, Greek","Greece","Male","Yes"
"5ebaa9fc8856050009e22b4b","c13635f4","RETURNED",2020-05-12 14:01:56,NA,"979927.763558",40,195,1,100,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5ebaa9fdb46f9c000a082560","fbcde0e8","AWAITING REVIEW",2020-05-12 13:52:07,2020-05-12 14:15:34,"1407.611",19,37,0,100,NA,"29ABE0A0","United Kingdom",NA,"Full-Time","English","English","United Kingdom","Female","Yes"
"5ebaa9fdee72bc000a90840f","5e9980a8","AWAITING REVIEW",2020-05-12 13:51:59,2020-05-12 14:24:41,"1962.126",28,14,0,100,NA,"29ABE0A0","Morocco","Spain","Unemployed (and job seeking)","Arabic","Arabic, Catalan, English, French, Portuguese, Spanish","Morocco","Male","Yes"
"5ebaa9fdebfffa000b7e9879","dc1e7d31","AWAITING REVIEW",2020-05-12 13:53:42,2020-05-12 14:35:55,"2532.775",32,195,0,100,NA,"29ABE0A0","Poland","Poland","Full-Time","Polish","Polish, English, German","Poland","Male","Yes"
"5ebaa9fd8f799200089fde0f","fcfd489e","AWAITING REVIEW",2020-05-12 13:52:41,2020-05-12 14:43:16,"3034.815",34,160,3,99,NA,"29ABE0A0","Estonia","Estonia","Full-Time","Estonian","Estonian","Estonia","Male","No"
"5ebaa9fe5f72f60009f916f8","2d334478","AWAITING REVIEW",2020-05-12 13:52:10,2020-05-12 14:22:16,"1805.797",19,7,0,100,NA,"29ABE0A0","United Kingdom","United Kingdom","Part-Time","English","English","United Kingdom","Female","No"
"5ebaa9fff497010009e0b2f9","6874ffbb","AWAITING REVIEW",2020-05-12 13:52:06,2020-05-12 14:31:42,"2375.761",30,278,1,100,NA,"29ABE0A0","Germany","Germany","Part-Time","German","German","Germany","Female","Yes"
"5ebaaa02ed7622000912a58c","f8414a00","AWAITING REVIEW",2020-05-12 13:52:02,2020-05-12 14:23:26,"1884.761",29,6,0,100,NA,"29ABE0A0","Poland","Poland","Unemployed (and job seeking)","Polish","Polish, English, German","Poland","Male","No"
"5ebaaa0286aba5000a8bac03","02f6aa77","AWAITING REVIEW",2020-05-12 13:52:04,2020-05-12 14:39:15,"2830.771",23,15,0,100,NA,"29ABE0A0","Portugal","Portugal","Full-Time","Portuguese","Portuguese, English","Portugal","Male","Yes"
"5ebaaa02f290a1000ca8fdea","6a0786b4","AWAITING REVIEW",2020-05-12 13:52:02,2020-05-12 14:26:41,"2079.385",23,12,0,100,NA,"29ABE0A0","Lithuania","Norway","Due to start a new job within the next month","Lithuanian","Lithuanian, Norwegian, English","Norway","Male","Yes"
"5ebaaa02fa827c000932a3ef","5f612236","AWAITING REVIEW",2020-05-12 13:52:06,2020-05-12 14:56:46,"3879.748",33,247,5,98,NA,"29ABE0A0","United Kingdom","United Kingdom","Part-Time","English","English","United Kingdom","Female","No"
"5ebaaa0226dc0a000acaf4a9","fb8b755d","RETURNED",2020-05-12 13:52:25,NA,"980499.313882",34,58,1,100,NA,NA,"CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED","CONSENT REVOKED"
"5ebaaa02dbaf970008308400","0d036d41","REJECTED",2020-05-12 13:52:02,2020-05-12 14:06:38,"875.923",26,44,1,100,2020-05-12 23:48:46,"NOCODE","Spain","Spain","Part-Time","Spanish","Spanish, English","Spain","Male","No"
