session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
5e9cfc0b7274e522e6fb507f,5d90464353e628001b3f9d19,APPROVED,2020-04-20 01:34:05.937000,2020-04-20 02:12:46.332000,2320.395,21,169,1,100,2020-05-11 15:35:08.270000,29ABE0A0,United States,United States,Full-Time,Spanish,"English, Spanish",United States,Male,No
5e9cfc25e162fd224093944c,5e94f3cb7e59400df2b915fa,APPROVED,2020-04-20 01:35:41.434000,2020-04-20 02:06:37.450000,1856.016,39,8,0,100,2020-05-11 15:35:11.512000,29ABE0A0,Spain,Mexico,Unemployed (and job seeking),Spanish,"Catalan, English, Spanish",Spain,Male,No
5e9daeb53cfc680bcf5bd92b,5e073887dc85350bf4d98bb9,APPROVED,2020-04-20 14:16:58.441000,2020-04-20 14:46:13.446000,1755.005,19,32,0,100,2020-05-11 15:41:54.547000,29ABE0A0,Estonia,Estonia,Other,Estonian,"Estonian, English",Estonia,Female,Yes
5e9daeb9ac750d0bc4ae3611,5bb78fc2400077000137cbb9,RETURNED,2020-04-20 14:16:27.523000,,1826910.759504,39,149,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e9daeba7cf6b00be817532a,5e9378c1facc7d6c21fa8310,APPROVED,2020-04-20 14:16:26.056000,2020-04-20 14:38:08.714000,1302.658,24,12,0,100,2020-05-11 15:41:55.643000,29ABE0A0,Italy,Italy,Part-Time,Italian,"English, Italian",Italy,Female,Yes
5e9daeba4b0db10c0938dcbb,5e12e64d6e4db6951639ee58,RETURNED,2020-04-20 14:16:51.345000,,1826886.96297,24,67,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e9daebb4457060c38d5d2ee,57e928630cb6700001dd8f8a,REJECTED,2020-04-20 14:16:29.779000,2020-04-20 14:33:36.451000,1026.672,26,500,4,100,2020-04-20 18:53:01.243000,NOCODE,Portugal,Portugal,Full-Time,Portuguese,"English, French, Spanish, Portuguese",Portugal,Female,No
5e9daebbcc1b580b721d6225,5e944d0f6fe398017ad46583,RETURNED,2020-04-20 14:16:27.847000,,1826910.483906,20,9,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e9daebc16f6d90b795c6dd4,5bb0a9556322c50001584f5d,APPROVED,2020-04-20 14:16:28.693000,2020-04-20 14:46:50.699000,1822.006,30,194,1,100,2020-05-11 15:41:56.714000,29ABE0A0,Poland,Poland,Full-Time,Polish,"English, Polish",Poland,Male,No
5e9daebd3cfc680b78a34b53,5c6ddaeababd45000113287f,RETURNED,2020-04-20 14:16:34.992000,,1826903.363962,63,158,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e9daebf32b4a20bda7aaf89,5d1aab1fb8fd6c001834e939,APPROVED,2020-04-20 14:16:31.155000,2020-04-20 14:48:11.370000,1900.215,22,82,0,100,2020-05-11 15:41:57.774000,29ABE0A0,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"Portuguese, English, Spanish",Portugal,Male,Yes
5e9daebf7cf6b00be817532b,5e6d4b604cc922039dedd96a,APPROVED,2020-04-20 14:21:18.348000,2020-04-20 14:36:55.902000,937.554,20,19,0,100,2020-05-11 15:41:59.244000,29ABE0A0,Denmark,Poland,Full-Time,Polish,"English, Polish",Poland,Female,No
5e9daec486242f0c34a0ab5b,5e8e4355655a520df440f36d,RETURNED,2020-04-20 14:16:41.914000,,1826896.492846,24,6,2,90,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e9daec50fb1590bd8b6feaa,5e67a2148d2161000c4b1d57,APPROVED,2020-04-20 14:16:37.363000,2020-04-20 14:42:58.555000,1581.192,18,18,0,100,2020-05-11 15:42:00.312000,29ABE0A0,Poland,Poland,Unemployed (and job seeking),Polish,"Polish, English",Poland,Male,Yes
5e9daec5c293770aee39a2fb,5e8ee3d2f7477719b18bcd29,APPROVED,2020-04-20 14:16:40.076000,2020-04-20 14:33:30.073000,1009.997,30,6,0,100,2020-05-11 15:42:01.413000,29ABE0A0,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5e9daec55597de0c0723fa57,58e0d6aaf0ec8a000120b50c,APPROVED,2020-04-20 14:16:39.766000,2020-04-20 14:36:10.246000,1170.48,38,326,3,100,2020-05-11 15:42:02.473000,29ABE0A0,Italy,Italy,Part-Time,Italian,"English, Italian",Italy,Female,No
