session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
5eb969d4c6699f04d5729c8e,5eb5c9d926fcab118321ba37,RETURNED,2020-05-11 15:06:00.302000,,84478.205602,22,0,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5eb969e1c7058905996ea1ca,5eaff95ab6fdad011a14e246,AWAITING REVIEW,2020-05-11 15:06:23.862000,2020-05-11 16:35:33.533000,5349.671,48,0,0,100,,29ABE0A0,Spain,Spain,Full-Time,Spanish,"English, Spanish",Spain,Female,No
5eb96a577fbf4b05281ca5ce,5ea9e2afff3ae31576d0c182,AWAITING REVIEW,2020-05-11 15:08:14.141000,2020-05-11 15:30:32.484000,1338.343,19,2,0,100,,29ABE0A0,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Male,Yes
5eb99d98f0dcca0b921b3dc9,5dd59fe0a6438056ac397382,AWAITING REVIEW,2020-05-11 18:48:47.340000,2020-05-11 19:10:41.528000,1314.188,23,105,0,100,,29ABE0A0,Denmark,United Kingdom,Part-Time,Danish,"Danish, English",Denmark,Female,No
5eb99d99926e630b6cc129d6,5caccbc4976d010014b9cd9d,AWAITING REVIEW,2020-05-11 18:48:52.877000,2020-05-11 19:11:11.579000,1338.702,34,234,0,100,,29ABE0A0,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Male,No
5eb99d99442a490b4b804955,5db0c0adccd3190016f4a792,AWAITING REVIEW,2020-05-11 18:46:49.277000,2020-05-11 19:08:50.690000,1321.413,29,87,0,100,,29ABE0A0,Portugal,Portugal,Full-Time,Portuguese,English,Portugal,Male,No
5eb99d99291d640ae9a114f1,5cb20f2d7c917b00172dfef5,AWAITING REVIEW,2020-05-11 18:49:58.651000,2020-05-11 19:11:10.926000,1272.275,44,324,4,99,,29ABE0A0,Germany,United Kingdom,Full-Time,English,German,United Kingdom,Male,No
5eb99d9a309df40bf582e7f3,5d44cb2385d859001a75bdea,AWAITING REVIEW,2020-05-11 18:46:50.148000,2020-05-11 19:11:46.776000,1496.628,21,100,2,99,,29ABE0A0,Portugal,Portugal,Other,Portuguese,Portuguese,Portugal,Male,Yes
5eb99d9b462d780bc2da08f5,5daf2004a05d370017a0b61d,AWAITING REVIEW,2020-05-11 18:46:51.441000,2020-05-11 19:27:22.110000,2430.669,23,62,0,100,,29ABE0A0,Greece,Greece,Full-Time,Greek,"Greek, English",Greece,Female,No
5eb99d9b772ac90af07696fc,5aeb368c2dd3400001786f61,RETURNED,2020-05-11 18:57:00.052000,,70618.68568,25,249,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5eb99d9b1de66b0b65fd5867,5d4ad0ffef19060018a973b9,RETURNED,2020-05-11 18:46:55.814000,,71222.923808,35,171,10,91,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5eb99d9c926e630b1849cda7,5721b3054d5b26001301f651,RETURNED,2020-05-11 18:46:52.157000,,71226.580882,31,959,10,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5eb99d9c9dc5fc0b69744a6e,5e6af0b76a8a7a0b8b71deba,AWAITING REVIEW,2020-05-11 18:46:52.378000,2020-05-11 19:12:34.199000,1541.821,24,31,0,100,,29ABE0A0,Cyprus,Greece,Other,Greek,"Greek, English",Cyprus,Male,Yes
5eb99d9d470de90a268572b9,5e948aa20c949c2fff20eabf,AWAITING REVIEW,2020-05-11 18:47:06.048000,2020-05-11 19:28:28.011000,2481.963,19,23,0,100,,29ABE0A0,Ireland,Ireland,Unemployed (and job seeking),English,English,Ireland,Male,Yes
5eb99d9e8e25520b63ad3e50,5e6d403dfc5eff000b8329a5,AWAITING REVIEW,2020-05-11 18:46:54.316000,2020-05-11 19:32:25.602000,2731.286,19,39,0,100,,29ABE0A0,Nigeria,Canada,Other,English,English,Nigeria,Female,Yes
5eb99d9e542dd70b07fb583f,5bc2e0ec4f3bfd00012e97b5,AWAITING REVIEW,2020-05-11 18:46:54.422000,2020-05-11 19:17:32.614000,1838.192,35,389,10,97,,29ABE0A0,Poland,Poland,Full-Time,Polish,"English, German, Polish",Poland,Female,Yes
5eb99d9ed06cf60b1b381d86,5e4d83caff7dd11d7e5e914f,RETURNED,2020-05-11 18:47:10.154000,,71208.708644,36,24,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5eb99d9f81d7420b3afffe75,5e94a643b4f9c13268892d9c,AWAITING REVIEW,2020-05-11 18:46:55.790000,2020-05-11 19:09:24.543000,1348.753,30,15,0,100,,29ABE0A0,Poland,Poland,Full-Time,Polish,"Polish, English",Poland,Male,No
5eb99da1c211520ae847439b,5e569bf08506630452c77051,AWAITING REVIEW,2020-05-11 18:46:57.086000,2020-05-11 19:17:23.139000,1826.053,23,19,0,100,,29ABE0A0,Spain,Spain,Unemployed (and job seeking),Spanish,"Catalan, English, Spanish",Spain,Male,Yes
5eb99da1b5aff30af545b320,5cabaa10ed17090015e1eb75,AWAITING REVIEW,2020-05-11 18:47:17.521000,2020-05-11 19:14:37.013000,1639.492,29,181,0,100,,29ABE0A0,Canada,Canada,Full-Time,English,English,Canada,Female,No
5eb99da17dfd150b8d3a2fea,5e5281d588c30529780e0007,AWAITING REVIEW,2020-05-11 18:46:57.247000,2020-05-11 19:07:45.002000,1247.755,24,33,0,100,,29ABE0A0,Poland,Poland,Other,Polish,"Polish, English",Poland,Male,Yes
5eb99da1dbd0090c051fb2b9,5e86dbfc6eb6d1000923b5fa,REJECTED,2020-05-11 18:46:57.345000,2020-05-11 18:56:13.719000,556.374,19,26,1,99,2020-05-11 23:09:22.998000,NOCODE,United Kingdom,Poland,Full-Time,English,"English, Polish",United Kingdom,Male,Yes
5eb99da2afc7d90b2a81c4f9,5e06289afe108500aa865255,AWAITING REVIEW,2020-05-11 18:47:01.569000,2020-05-11 19:08:56.324000,1314.755,37,93,0,100,,29ABE0A0,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Female,No
5eb99da201ac0e0b53e7531a,5e302a1b1d1be6020f98b214,AWAITING REVIEW,2020-05-11 18:46:58.960000,2020-05-11 19:03:39.186000,1000.226,20,40,0,100,,29ABE0A0,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"English, Portuguese",Portugal,Male,Yes
5eb99da362221b0b6e041d89,5e8fae5ce5846e10450f1a3e,AWAITING REVIEW,2020-05-11 18:47:01.030000,2020-05-11 19:09:52.141000,1371.111,22,12,0,100,,29ABE0A0,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"English, Portuguese",Portugal,Male,Yes
5eb99da3507b110a9f614ed6,5e8d96efe32229018dec69dd,RETURNED,2020-05-11 18:47:57.304000,,71161.781517,47,31,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5eb99da4219d5a0b8b2c0a61,5eac4b0a1f8db726fc6060c8,AWAITING REVIEW,2020-05-11 18:47:00.592000,2020-05-11 19:14:58.405000,1677.813,19,3,0,100,,29ABE0A0,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"English, Portuguese",Portugal,Male,No
