session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5ebac1ca111567036b98fa0c,5eb9d60bcd9c0e0fec1757d5,RETURNED,2020-05-12 15:33:42.459000,,976684.704736,48,8,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebac2135b408e037af8c017,5d7b97427a9d090018a3c1fa,AWAITING REVIEW,2020-05-12 15:34:52.561000,2020-05-12 15:57:32.226000,1359.665,21,73,0,100,,29ABE0A0,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,Yes
5ebac68f52712703e7034a80,59a9abfb2ab6b80001a7df7f,AWAITING REVIEW,2020-05-12 15:53:52.560000,2020-05-12 16:21:57.597000,1685.037,39,81,0,100,,29ABE0A0,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,No
5ebad1f7c72051063f2bf402,5eab59259d31271344f6478f,AWAITING REVIEW,2020-05-12 16:42:31.695000,2020-05-12 17:24:22.093000,2510.398,20,14,0,100,,29ABE0A0,Canada,Canada,Full-Time,English,Canada,Male,No
5ebad1f8b105f105bdfb8e90,5dfcada86b207c000ec4af80,AWAITING REVIEW,2020-05-12 16:42:32.806000,2020-05-12 16:57:34.366000,901.56,23,88,0,100,,29ABE0A0,Belgium,Switzerland,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,Yes
5ebad1fb9ca044051cb32f1f,5e6143aea9267c045bfcf7a2,AWAITING REVIEW,2020-05-12 16:42:35.676000,2020-05-12 17:12:40.446000,1804.77,19,66,0,100,,29ABE0A0,United Kingdom,United Kingdom,Other,English,United Kingdom,Female,Yes
5ebad1fe5b408e057451bb99,5c8812709cef4f0016a18318,AWAITING REVIEW,2020-05-12 16:42:45.665000,2020-05-12 17:19:33.324000,2207.659,26,166,0,100,,29ABE0A0,Kuwait,Canada,Full-Time,English,Canada,Female,No
5ebad2016befc105c1de1e85,5d6ee372f52ee2001b314d3a,AWAITING REVIEW,2020-05-12 16:42:41.365000,2020-05-12 17:47:12.671000,3871.306,32,152,0,100,,29ABE0A0,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,No
5ebad20274f38105db3a1083,5d93264e3e74670014b4b981,AWAITING REVIEW,2020-05-12 16:42:41.987000,2020-05-12 17:03:08.265000,1226.278,34,176,0,100,,29ABE0A0,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
5ebad2043576b504a29c8dbb,5e6802e5e0c4b8000af9939a,AWAITING REVIEW,2020-05-12 16:42:44.177000,2020-05-12 17:21:07.456000,2303.279,19,35,0,100,,29ABE0A0,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Female,Yes
5ebad204e7d9a805feec0d1f,5e67d5aa420e3e04354f252e,AWAITING REVIEW,2020-05-12 16:42:44.420000,2020-05-12 17:12:59.809000,1815.389,26,15,0,100,,29ABE0A0,Finland,,Part-Time,English,United Kingdom,Male,Yes
5ebad20777b27305d58d1526,5eaeebbf11f5975ca198cd51,AWAITING REVIEW,2020-05-12 16:42:54.077000,2020-05-12 17:04:16.788000,1282.711,38,15,0,100,,29ABE0A0,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Male,No
5ebad208ebfffa0505dc318f,5c3764a08cfec40001c063ad,AWAITING REVIEW,2020-05-12 16:42:50.350000,2020-05-12 17:06:22.791000,1412.441,43,86,2,99,,29ABE0A0,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
5ebad2082445c0062c8f13a1,5ad0aed35b53cb0001f33bcb,AWAITING REVIEW,2020-05-12 16:42:48.332000,2020-05-12 17:01:56.485000,1148.153,37,269,4,99,,29ABE0A0,Ireland,Ireland,Part-Time,English,Ireland,Male,No
5ebad209d548a705ccf181e1,5e4fb06d435b693f5d439ba9,AWAITING REVIEW,2020-05-12 16:42:49.376000,2020-05-12 17:19:27.116000,2197.74,21,58,0,100,,29ABE0A0,Oman,United Kingdom,Other,English,India,Male,Yes
5ebad20ae5f14a05f23bf08b,5eac0cc00c290d042824695f,REJECTED,2020-05-12 16:42:55.783000,2020-05-12 17:00:54.195000,1078.412,22,10,1,97,2020-05-13 00:12:20.962000,NOCODE,United Kingdom,,Full-Time,English,United Kingdom,Female,No
5ebad20b203254055b1c0b0d,5ea305678366db250adbaf7d,AWAITING REVIEW,2020-05-12 16:42:54.039000,2020-05-12 17:30:32.682000,2858.643,34,21,0,100,,29ABE0A0,South Africa,United Kingdom,Full-Time,English,South Africa,Male,No
5ebad20d82aae6049e1f88f3,5ea9898069cbff07dfa4c06a,AWAITING REVIEW,2020-05-12 16:42:57.524000,2020-05-12 17:08:05.680000,1508.156,21,14,0,100,,29ABE0A0,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United Kingdom,Female,Yes
5ebad20d07f1c5065052c7be,5eb2dbcf831ce0086b977720,AWAITING REVIEW,2020-05-12 16:42:53.232000,2020-05-12 17:15:50.133000,1976.901,24,13,0,100,,29ABE0A0,Netherlands,Canada,Other,English,Indonesia,Female,No
5ebad20dd63dde055f7cbc14,5e4fcbc8b05733011ff64ebc,AWAITING REVIEW,2020-05-12 16:42:58.428000,2020-05-12 17:09:21.487000,1583.059,26,48,0,100,,29ABE0A0,Canada,Canada,Other,English,Canada,Female,Yes
5ebad20f994ee206341af7ad,5d6efaf57e41e600016209b4,AWAITING REVIEW,2020-05-12 16:42:55.745000,2020-05-12 17:19:57.348000,2221.603,26,158,0,100,,29ABE0A0,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,Yes
