session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5ebac7a6eabcad0446b146b0,5d1f45cc475f3e0001e540fd,RETURNED,2020-05-12 15:58:33.059000,,978013.705402,29,93,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebac8161725910429dba59c,5dd64a9e332b345d1b70459d,RETURNED,2020-05-12 16:00:30.278000,,977896.486546,28,66,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebac86bae6d1304efdf74c6,5b82d9a37b7e360001205d6c,AWAITING REVIEW,2020-05-12 16:01:54.232000,2020-05-12 16:26:08.397000,1454.165,49,63,0,100,,29ABE0A0,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,Yes
5ebac8c9730d1c0506c99ee5,5e88e68b88ac1c58a80b8f2d,AWAITING REVIEW,2020-05-12 16:03:24.273000,2020-05-12 17:24:16.890000,4852.617,27,12,0,100,,29ABE0A0,United Kingdom,United Kingdom,Part-Time,English,United Kingdom,Male,No
5ebad19ed63dde04a994f1a5,5e87c7d5c880ee44fa1f2e00,AWAITING REVIEW,2020-05-12 16:41:04.758000,2020-05-12 16:54:39.560000,814.802,25,28,0,100,,29ABE0A0,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Female,No
5ebad1a1e55c63055d3c7b24,5e75e3e6cd742b150f033961,RETURNED,2020-05-12 16:51:05.321000,,974861.512163,24,40,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebad1a1948ce105746d2a91,5ca8eaf9bd0f9e0001c7d7fa,AWAITING REVIEW,2020-05-12 16:48:07.750000,2020-05-12 17:30:03.472000,2515.722,28,277,1,100,,29ABE0A0,United Kingdom,United Kingdom,Other,English,United Kingdom,Female,No
5ebad1a2d80c4d055aba1cfc,598caf6833481c000164d13d,AWAITING REVIEW,2020-05-12 16:42:09.158000,2020-05-12 17:15:31.279000,2002.121,34,490,1,100,,29ABE0A0,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Female,No
5ebad1a2d1f322060ffc5fed,5a7709c4f49c9a0001f2fb01,AWAITING REVIEW,2020-05-12 16:41:06.644000,2020-05-12 16:56:10.264000,903.62,21,262,2,100,,29ABE0A0,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Male,Yes
5ebad1a87ceff504faf5da5f,5b990de99882060001856182,AWAITING REVIEW,2020-05-12 16:41:14.003000,2020-05-12 17:17:53.180000,2199.177,34,164,5,96,,29ABE0A0,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Male,No
5ebad1aa703b37062c43c189,5ea04bf0549a55078a07eb5d,RETURNED,2020-05-12 16:41:18.398000,,975448.521865,22,23,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebad1abd131ca05be8bf735,5db30b056568dc000dde0737,RETURNED,2020-05-12 16:41:58.292000,,975408.627945,33,122,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebad1adf35d4605e457da66,5cf059b7cfbe24001aaf9fdf,RETURNED,2020-05-12 16:41:20.500000,,975446.419998,40,98,3,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebad1aee7d9a8065149de8a,5eb0aa775cadd4165409fca3,RETURNED,2020-05-12 16:41:21.684000,,975445.236037,40,10,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebad1b07f7d4605432bd156,5d7695cc7ae60f001bc4bde6,RETURNED,2020-05-12 16:43:48.313000,,975298.607073,32,242,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ebad1b3fa827c060391e3bf,5ea96996fe719804d2f275b5,AWAITING REVIEW,2020-05-12 16:41:32.044000,2020-05-12 17:11:14.248000,1782.204,32,12,0,100,,29ABE0A0,Canada,Canada,Unemployed (and job seeking),English,Canada,Female,No
5ebad1b33576b504a29c8dba,5e8e2341b233860cae471c69,AWAITING REVIEW,2020-05-12 16:41:25.843000,2020-05-12 17:12:59.108000,1893.265,33,22,1,99,,29ABE0A0,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
5ebad1b45c1590062371334c,5eb300812c2ae70d1082631f,AWAITING REVIEW,2020-05-12 16:41:28.233000,2020-05-12 16:56:51.993000,923.76,20,9,0,100,,29ABE0A0,United Kingdom,United Kingdom,Full-Time,English,United Kingdom,Female,No
5ebad1b734c5ff061a011c41,5ea8aa34b9ec2013c0cf77d9,REJECTED,2020-05-12 16:41:32.168000,2020-05-12 16:50:44.195000,552.027,25,5,1,96,2020-05-12 17:59:19.397000,NOCODE,United Kingdom,United Kingdom,Unemployed (and job seeking),English,United Kingdom,Female,No
5ebad1bc6b4d9904ab58d4b1,5e701e9b1b32755edfb4bed5,REJECTED,2020-05-12 16:41:32.440000,2020-05-12 16:53:18.251000,705.811,36,43,2,97,2020-05-12 18:02:31.236000,NOCODE,Canada,Canada,Part-Time,English,Canada,Male,No
5ebad1c094238205773e9a41,5e99e2a6faef37053c38e46a,AWAITING REVIEW,2020-05-12 16:41:39.778000,2020-05-12 16:59:07.064000,1047.286,21,34,1,99,,29ABE0A0,United States,United States,Part-Time,English,United States,Female,Yes
