"user_id","Q96","vis","cummu_pay","avg_pay"
"9768cb1b","I tried to see whether or not the line was over or under 0. One round I put all in profit but got loads of negative points. Hard task.","ci-50","-20590",-686.333333333333
"fcad550e","I was looking to only mark something as positive if most of the curve appeared above 0","pdf","-4130",-137.666666666667
"1d6f7335","nearly always not profitable - shorter lines shorter variables more likely to be a profit if further away from zero ","ci-50","550",18.3333333333333
"e2c7cd2d","Over the second profit line then definitely profit","ci-50","-4120",-137.333333333333
"e53c77f9","Gauging how much was above the line and deciding if that would mean a profit.","pdf","-13390",-446.333333333333
"e84e7a3f","Tried to play it safe and go for 'profitable/not profitable' when it looked like a sure thing, but that didn't go too well for me! Started taking more risks/gambles as my points spiralled and by the end, there wasn't really too much of a strategy","ci-50","-4500",-150
"47d0cf75","I simply only marked the graphs as profitable if it was it largely above zero otherwise not","pdf","-5220",-174
"2e7940f6","I looked at how many dots were close to the 0 line and how many reached to the furthest point on each side to consider where the mean might be.","data-only","-19760",-658.666666666667
"a3f937f7","I checked the graph and profitability indicator","ci-50","-18860",-628.666666666667
"3eb726c4","Just likelihood based on number of dots above and below plus the shape","data-only","-13700",-456.666666666667
"f3a73b85","i was careful not to take much risk and took into account which way was worse to be incorrect as ;losing 40 points was much better than 150.so i only went with dead certs for profit when above 5 for mean profit.","pdf","880",29.3333333333333
"bbfd0067","Comparing the amount of profitable stores against the non profitable stores, while considering the value that each of them hold.","data-only","-16700",-556.666666666667
"005030f5","Choosing all non-profitable unless the density distribution only had the very last end on zero/negative","pdf","1830",61
"b7c2bcde","short lines on topside is good, long lines on bottom is good.","ci-50","-24840",-828
"873c2656","could only go on what I could say try to estimate which was the greatest above or below the line","data-only","-14650",-488.333333333333
"a10c783c","If the strategist put the dot above the profit line, generally I said it would be profitable. However when I kept accruing negative points, I did try and throw some random ones in there to see if it helped but unfortunately it did not and I kept getting further into the negative numbers.","ci-50","-10260",-342
"1c2cfeb3","if it was above the first line on the positive sign then I would say it was making profit","ci-50","610",20.3333333333333
"dbc21dfc","not sure","data-only","-23610",-787
"df64269b","if the chart was above the line i said profitable","pdf","-6050",-201.666666666667
"6971b859","I tried to work out if there were more dots above or below the red line.","data-only","-23500",-783.333333333333
"fa84f2b6","Initially I selected regions that had on average more points above the 0 mark. However, I noticed that I was losing points quickly, probably because I selected unprofitable regions as profitable. I shifted my strategy to only selecting dots that are overwhelmingly above 0, not just above average. It still didn't work very well though.","data-only","-1220",-40.6666666666667
"af52ddec","Added 50% to length of bars to see if it still indicated a profit (mad I know!)","ci-50","1150",38.3333333333333
"f2dd291f","I was just trying to see if the average of the graph suggested a profit margin and I had no other special strategy.l","pdf","-1030",-34.3333333333333
"8bfa16ec","Had a look at the graphs overall and see how all stores looked before making a decision. ","pdf","-9680",-322.666666666667
"9bf10603","At first, I looked at the number of losses shown and how big these losses were.
This strategy did not work. It is a very difficult task with only 10% of data available ","data-only","-3420",-114
"d3fc9833","I tried to gauge the depth of the graph in both negative and positive positions.","pdf","-1110",-37
"5bae65da","circle below line= no profit
","ci-50","-19220",-640.666666666667
"530c976f","Guesswork","ci-50","-22930",-764.333333333333
"0d7dac72","I started looking intently at whether the entire bar was profitable or not, but after 2 rounds of that not working, and being penalised so hard because of the scoring system, after that I looked and just guessed because I knew there would be no way to get back to positive points","ci-50","-12930",-431
"161134a2","If the point was higher than the middle line I went to profit and if it was level or lower I didn't.","pdf","-17350",-578.333333333333
"47d263b5","seeing where the peak was on the graph then look at how sharp the spikes go into the neg side ","pdf","-4510",-150.333333333333
"beae0dbd","Estimating on the more conservative side (usually not profit) the larger the error bars were","ci-50","-7410",-247
"46994dc4","I prioritised towards non-profitable if I wasn't sure as it resulted in losing less points if I was wrong
","data-only","-2150",-71.6666666666667
"539f25bf","I tried to take an overview of where the profit dots were and how many there were.  Also if there were any higher up making a larger amount of profit.","data-only","-17350",-578.333333333333
"f4c36d7b","I tried different strategies. If the median was significantly above or below zero I treated it as a likely correct estimate. For the cases where the probability was more or less equally distributed above and below zero I tried 1) selecting answers based on where the peak lies 2) skewing towards udnerestimating 3) skewing towards overestimating. None of those strategies seemed to work","pdf","-15110",-503.666666666667
"66293e2c","I raised the profitability bar every time I got a negative score.","ci-50","-2050",-68.3333333333333
"b960bcdc","Mostly just random but towards the end I started feeling like the ones with the mean more towards 0 were the profitable ones ","ci-50","-27260",-908.666666666667
"5308d548","I tried to avoid selecting profitable unless I was very certain, due to the high losses of getting it wrong.","ci-50","1600",53.3333333333333
"ef11a2e2","I tried to follow the instructions to work out how likely it was that they were profitable based on the graph. I used the length of the bar to determine how close to the line I was willing to go in terms of assuming profitability. As I was getting them wrong I was more suspicious of clicking profitable and tended towards more not profitable. When the scores improved, I was a bit more lenient. I have not done very well at this so perhaps have misunderstood something about the graphs. ","ci-50","-3380",-112.666666666667
"2ca0e360","If it was below the line it was definitely not profitable and if it was above the line I looked at how far above it it was. It if was above 5 then it was profitable, if if not I would look for a small spread closer to the 5.","ci-50","-2070",-69
"490bdcd6","initially if remotely above 0 mark as profitable
overtime, profitable only if more likely than not","ci-50","-7550",-251.666666666667
"caac5573","i used the peak to determine wether the store would be profitable which was clearly wrong as i got a horrendous score!","pdf","-15180",-506
"9bb2d9e8","no specific strategy only going by the results in the examples","ci-50","-10660",-355.333333333333
"010e009e","The biggest spread over the line got profitable, clearly I was not correct in doing this! Anything well below the line was assumed to be non profitable","ci-50","-5480",-182.666666666667
"3a2db5ff","Looked at the circle of each line and compared it to how far up it was on each of the graph to determine profitability.","ci-50","-20580",-686
"5e2a9918","I looked for a mean over 5 with a short certainty spread above and below 5.","ci-50","1480",49.3333333333333
"e5bf7575","Mostly above 0 its profitable","pdf","-3540",-118
"f86f9fa2","I tried to imagine that the 20 dots were representative. If there were significantly more dots above the zero than below, I predicted profitable. If it was fairly even, I erred on the side of caution and put non-profitable. I also took into consideration if there were outliers.","data-only","-7860",-262
"c763458e","looking at where most of the density were - compared to zero line","pdf","1120",37.3333333333333
"688cbdb2","If I did not think that a decision could be made I selected not profitiable","data-only","-8230",-274.333333333333
"efb31a20","I would roughly guess the number of dots on each side of the red line and then look out for any dots which were spaced up very near the 20 and -20 lines.","data-only","-9520",-317.333333333333
"36606af0","No strategy","ci-50","-2180",-72.6666666666667
"9eca2d3a","Tried to see in what line the dot was","ci-50","-9250",-308.333333333333
"a5370c9d","I would mark them as profitable if the markers were considerably higher than the red line.","ci-50","-8480",-282.666666666667
"1597d6a9","Non profitable - everything negative + low positive with a wide error bar 
Profitable - everything super high + low positives with a narrow error bar ","ci-50","-6010",-200.333333333333
