"vis","user_id","nregions","index","m","region_index","response","trial","block","attention_check"
"ci-50","9768cb1b","20",1,12,1,1,10,1,3
"ci-50","9768cb1b","20",1,12,2,0,10,1,3
"ci-50","9768cb1b","20",1,12,3,1,10,1,3
"ci-50","9768cb1b","20",1,12,4,0,10,1,3
"ci-50","9768cb1b","20",1,12,5,0,10,1,3
"ci-50","9768cb1b","20",1,12,6,0,10,1,3
"ci-50","9768cb1b","20",1,12,7,1,10,1,3
"ci-50","9768cb1b","20",1,12,8,1,10,1,3
"ci-50","9768cb1b","20",1,12,9,1,10,1,3
"ci-50","9768cb1b","20",1,12,10,1,10,1,3
"ci-50","9768cb1b","20",1,12,11,1,10,1,3
"ci-50","9768cb1b","20",1,12,12,0,10,1,3
"ci-50","9768cb1b","20",2,12,1,1,8,1,3
"ci-50","9768cb1b","20",2,12,2,1,8,1,3
"ci-50","9768cb1b","20",2,12,3,1,8,1,3
"ci-50","9768cb1b","20",2,12,4,1,8,1,3
"ci-50","9768cb1b","20",2,12,5,0,8,1,3
"ci-50","9768cb1b","20",2,12,6,1,8,1,3
"ci-50","9768cb1b","20",2,12,7,1,8,1,3
"ci-50","9768cb1b","20",2,12,8,1,8,1,3
"ci-50","9768cb1b","20",2,12,9,0,8,1,3
"ci-50","9768cb1b","20",2,12,10,1,8,1,3
"ci-50","9768cb1b","20",2,12,11,0,8,1,3
"ci-50","9768cb1b","20",2,12,12,1,8,1,3
"ci-50","9768cb1b","20",3,12,1,1,0,1,3
"ci-50","9768cb1b","20",3,12,2,1,0,1,3
"ci-50","9768cb1b","20",3,12,3,1,0,1,3
"ci-50","9768cb1b","20",3,12,4,1,0,1,3
"ci-50","9768cb1b","20",3,12,5,1,0,1,3
"ci-50","9768cb1b","20",3,12,6,1,0,1,3
"ci-50","9768cb1b","20",3,12,7,1,0,1,3
"ci-50","9768cb1b","20",3,12,8,1,0,1,3
"ci-50","9768cb1b","20",3,12,9,1,0,1,3
"ci-50","9768cb1b","20",3,12,10,1,0,1,3
"ci-50","9768cb1b","20",3,12,11,1,0,1,3
"ci-50","9768cb1b","20",3,12,12,1,0,1,3
"ci-50","9768cb1b","20",3,12,1,0,7,1,3
"ci-50","9768cb1b","20",3,12,2,1,7,1,3
"ci-50","9768cb1b","20",3,12,3,1,7,1,3
"ci-50","9768cb1b","20",3,12,4,0,7,1,3
"ci-50","9768cb1b","20",3,12,5,1,7,1,3
"ci-50","9768cb1b","20",3,12,6,1,7,1,3
"ci-50","9768cb1b","20",3,12,7,0,7,1,3
"ci-50","9768cb1b","20",3,12,8,0,7,1,3
"ci-50","9768cb1b","20",3,12,9,1,7,1,3
"ci-50","9768cb1b","20",3,12,10,0,7,1,3
"ci-50","9768cb1b","20",3,12,11,1,7,1,3
"ci-50","9768cb1b","20",3,12,12,1,7,1,3
"ci-50","9768cb1b","20",4,12,1,1,2,1,3
"ci-50","9768cb1b","20",4,12,2,0,2,1,3
"ci-50","9768cb1b","20",4,12,3,0,2,1,3
"ci-50","9768cb1b","20",4,12,4,0,2,1,3
"ci-50","9768cb1b","20",4,12,5,1,2,1,3
"ci-50","9768cb1b","20",4,12,6,1,2,1,3
"ci-50","9768cb1b","20",4,12,7,1,2,1,3
"ci-50","9768cb1b","20",4,12,8,1,2,1,3
"ci-50","9768cb1b","20",4,12,9,1,2,1,3
"ci-50","9768cb1b","20",4,12,10,1,2,1,3
"ci-50","9768cb1b","20",4,12,11,1,2,1,3
