"m","trial","index","p","positive"
12,1,1,0.178525566123426,0
12,1,2,0.311325033195317,0
12,1,3,0.310618294635788,0
12,1,4,0.483075455063954,0
12,1,5,0.0207249028899072,1
12,1,6,0.463658596854657,0
12,1,7,0.470347963972017,0
12,1,8,0.417802361487657,1
12,1,9,0.779506363673136,0
12,1,10,0.330217558890581,0
12,1,11,0.143557960584037,1
12,1,12,0.358716871103682,1
12,2,1,0.376758768456057,0
12,2,2,0.831195656210184,0
12,2,3,0.719857834978029,0
12,2,4,0.704898114083335,0
12,2,5,0.418600842589512,0
12,2,6,0.024894021437723,1
12,2,7,0.0455082962614494,1
12,2,8,0.228953254641965,0
12,2,9,0.0168005249885939,1
12,2,10,0.370939960004762,0
12,2,11,0.0559089842861303,1
12,2,12,0.218915738165379,0
12,3,1,0.0144573397015527,1
12,3,2,0.593549237353727,0
12,3,3,0.404779343865812,0
12,3,4,0.489832771490044,1
12,3,5,0.154381247935817,0
12,3,6,0.690142635721713,0
12,3,7,0.136784511368424,1
12,3,8,0.0179067375574899,1
12,3,9,0.794236567569897,0
12,3,10,0.545877745142207,0
12,3,11,0.429379388689995,0
12,3,12,0.419787550112233,0
12,4,1,0.150841053119929,1
12,4,2,0.00167449120635554,1
12,4,3,0.390808395808563,0
12,4,4,0.880856225965545,0
12,4,5,0.109919667476788,0
12,4,6,0.0211550454597256,1
12,4,7,0.952390056336299,0
12,4,8,0.255040011135861,0
12,4,9,0.340824540338279,1
12,4,10,0.142176836496219,0
12,4,11,0.535360728856176,0
12,4,12,0.141508881235495,0
12,5,1,0.147137532709166,0
12,5,2,0.379395785508677,0
12,5,3,0.525557235814631,0
12,5,4,0.411914091557264,0
12,5,5,0.166460247477517,0
12,5,6,0.031832882107825,1
12,5,7,0.215217330266035,1
12,5,8,0.69456950109452,0
12,5,9,0.0272973071709236,1
12,5,10,0.780224104877561,0
12,5,11,0.0082014223596772,1
12,5,12,0.507024936378002,0
12,6,1,0.171308773569763,0
12,6,2,0.561113286297768,0
12,6,3,0.523171330642325,1
12,6,4,0.387349219527096,0
12,6,5,0.90126119251363,0
12,6,6,0.581827268711783,1
12,6,7,0.106835456332192,0
12,6,8,0.0735346809249038,1
12,6,9,0.0384063849884798,1
12,6,10,0.742862262995914,0
12,6,11,0.158859113464132,0
12,6,12,0.236130514647812,0
12,7,1,0.989084350643679,0
12,7,2,0.406761348946242,1
12,7,3,0.201858722371981,0
12,7,4,0.83101054886356,0
12,7,5,0.00409607230427538,1
12,7,6,0.212986529804766,0
12,7,7,0.730494663817808,0
12,7,8,0.951830243924633,0
12,7,9,0.377891181153417,1
12,7,10,0.673399357125163,0
12,7,11,0.377835382707417,0
12,7,12,0.0002281305424528,1
12,8,1,0.0945732637774199,0
12,8,2,0.0370749225839972,0
12,8,3,0.426953486085623,1
12,8,4,0.37687188689597,0
12,8,5,0.75978412997439,1
12,8,6,0.343010387616232,0
12,8,7,0.20473444997333,0
12,8,8,0.183493927819654,0
12,8,9,0.60045079189951,1
12,8,10,0.239308698410856,1
12,8,11,0.532545185415074,0
12,8,12,0.316573280841112,0
12,9,1,0.182711517903954,0
12,9,2,0.397903129691258,0
12,9,3,0.431760584702715,0
12,9,4,0.0707379146687794,1
12,9,5,0.0289137906346446,1
12,9,6,0.507571842253802,1
12,9,7,0.614603384165093,0
12,9,8,0.645077385706827,0
12,9,9,0.140228275209665,0
12,9,10,0.0146636858566864,1
12,9,11,0.948838075855747,0
12,9,12,0.0769822373986244,0
12,10,1,0.00399354642934279,1
12,10,2,0.889956052415073,0
12,10,3,0.262667968869209,0
12,10,4,0.516416346188635,0
12,10,5,0.721257255179808,0
12,10,6,0.529876481508836,0
12,10,7,0.163092543371022,0
12,10,8,0.249914438929409,0
12,10,9,0.00756599639755802,1
12,10,10,0.0304680623168806,1
12,10,11,0.0059590372506937,1
12,10,12,0.708286652807146,0
16,1,1,0.247819221578538,0
16,1,2,0.435682827141136,0
16,1,3,0.5364944874309,0
16,1,4,0.801648332504556,0
16,1,5,0.287986203795299,0
16,1,6,0.239519634284079,0
16,1,7,0.0701342110130687,1
16,1,8,0.0746913761880137,1
16,1,9,0.359454853227362,0
16,1,10,0.742054704576731,0
16,1,11,0.612750160507858,0
16,1,12,0.00585131001453807,1
16,1,13,0.366766206920727,1
16,1,14,0.567061700625345,0
16,1,15,0.795359650161117,0
16,1,16,0.00145488772578556,1
16,2,1,0.00437185582871961,1
16,2,2,0.276967178442601,1
16,2,3,0.11541491566111,1
