session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Sex,Current Country of Residence,Country of Birth,Employment Status,Fluent languages,Student Status,Nationality,First Language
5e3ed19e3f87b912b52dc3ad,5e3d59338f20d3000a34aeb9,TIMED-OUT,2020-02-08 15:20:06.863000,,80613.736115,32,0,0,100,,,Male,,United States,Full-Time,English,Yes,United States,English
5e3ed1a4fb9ed5123bcb8fda,5e3db42ae01a2602b2068256,APPROVED,2020-02-08 15:20:34.379000,2020-02-08 15:44:30.930000,1436.551,22,1,0,100,2020-02-08 19:52:17.399000,29ABE0A0,Female,United Kingdom,United Kingdom,Part-Time,English,Yes,Ireland,English
5e3ef0208d66d9144c07c333,5d9f8573ce3daf0015e3e400,APPROVED,2020-02-08 17:30:08.640000,2020-02-08 17:49:27.361000,1158.721,28,148,1,100,2020-02-08 19:52:18.343000,29ABE0A0,Male,United States,United States,Full-Time,English,No,United States,English
5e3f645423323f1c3c7463b4,5d1e47055538e6001a842e3b,AWAITING REVIEW,2020-02-09 01:46:30.954000,2020-02-09 02:28:10.785000,2499.831,23,66,1,100,,29ABE0A0,Male,Germany,Mongolia,Part-Time,"Turkish, English, German",Yes,Mongolia,Turkish
5e3f6458f2160b1c566554ef,5def263d8def535cf50388ea,AWAITING REVIEW,2020-02-09 01:48:18.031000,2020-02-09 02:29:37.658000,2479.627,32,73,0,100,,29ABE0A0,Male,,United States,Other,English,No,United States,English
5e3f64584425131c4df331b7,5dd33261fce6063503a61fd2,AWAITING REVIEW,2020-02-09 01:46:05.217000,2020-02-09 02:15:19.759000,1754.542,37,100,3,97,,29ABE0A0,Female,United States,United States,Full-Time,English,No,United States,English
5e3f64597b9cc21c318b62a8,5c9b11249cd82b00174fd7ad,RETURNED,2020-02-09 01:46:01.439000,,43059.276935,36,283,4,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e3f645a4a6a7f1c24d838c1,5c66e2f32eacb200019ee394,AWAITING REVIEW,2020-02-09 01:46:02.973000,2020-02-09 02:09:12.251000,1389.278,38,104,0,100,,29ABE0A0,Male,Mexico,Mexico,Other,Spanish,No,Mexico,Spanish
5e3f645b26325d1c952ae854,5ba2877a7590cc0001b50d0f,TIMED-OUT,2020-02-09 01:46:06.146000,,43054.592891,37,91,0,100,,,Male,United States,United States,Part-Time,English,No,United States,English
5e3f645c3fc9101c0a3d8758,5dec6a96da522335df62a1b5,RETURNED,2020-02-09 01:46:04.797000,,43055.966197,27,38,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e3f645e9dd8051c1a6f9342,5d1d5027558790001a6d4dea,AWAITING REVIEW,2020-02-09 01:46:08.169000,2020-02-09 02:03:42.556000,1054.387,29,149,4,97,,29ABE0A0,Male,United States,United States,Full-Time,English,Yes,United States,English
5e3f645ed960941c34413b11,5c994ca30225a000167bd288,APPROVED,2020-02-09 01:46:10.952000,2020-02-09 01:57:54.666000,703.714,20,91,0,100,2020-02-09 02:01:12.325000,29ABE0A0,Female,Canada,Canada,Part-Time,English,Yes,Canada,Chinese
5e3f6461194a561c8bdb8a43,5a5e8efcac562400015424ba,AWAITING REVIEW,2020-02-09 01:46:38.301000,2020-02-09 02:12:51.385000,1573.084,31,763,6,99,,29ABE0A0,Female,United States,United States,Other,English,No,United States,English
5e3f6461aa43091bde264096,5ddcfdd0322886c4fc2feff4,RETURNED,2020-02-09 01:46:09.772000,,43051.062628,23,6,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e3f646111f2e11c2b6ec11d,5a95694a4eecca0001dd4721,AWAITING REVIEW,2020-02-09 01:46:09.863000,2020-02-09 02:16:08.665000,1798.802,39,111,1,100,,29ABE0A0,Male,Spain,Spain,Part-Time,"English, Spanish, Galician, Portuguese",No,Spain,Spanish
5e3f6463280cae1c6f6f6c7b,5e15a5f7082675b7e19b2bbc,AWAITING REVIEW,2020-02-09 01:46:11.894000,2020-02-09 02:42:06.664000,3354.77,27,16,0,100,,29ABE0A0,Male,Portugal,Portugal,Unemployed (and job seeking),"English, Portuguese",No,Portugal,Portuguese
5e3f6464ce52251bf065935e,5e39b4e8eed08202335f88bb,AWAITING REVIEW,2020-02-09 01:46:15.753000,2020-02-09 02:23:44.315000,2248.562,28,1,0,100,,29ABE0A0,Male,Portugal,Portugal,Unemployed (and job seeking),"English, Portuguese",No,Portugal,Portuguese
5e3f6466f09a9f1c6057268b,5defe76ec33cea000b6cb8e1,AWAITING REVIEW,2020-02-09 01:46:14.442000,2020-02-09 02:18:20.384000,1925.942,33,70,1,100,,29ABE0A0,Male,United States,United States,Full-Time,English,No,United States,English
5e3f646781d99c1c0b45cf27,5dc1d03762ec50143144ac3f,AWAITING REVIEW,2020-02-09 01:46:15.609000,2020-02-09 02:28:03.102000,2507.493,29,38,0,100,,29ABE0A0,Male,Spain,Spain,Other,"French, English, Spanish",Yes,Spain,Spanish
5e3f6469fce14d1c41837c87,5d423b7706811e001ada5b08,AWAITING REVIEW,2020-02-09 01:46:19.332000,2020-02-09 02:53:18.191000,4018.859,33,40,1,99,,29ABE0A0,Female,United States,United States,Part-Time,English,No,United States,English
5e3f646b23323f1b93ea8062,53981858fdf99b1ccc3f12d9,AWAITING REVIEW,2020-02-09 01:46:19.073000,2020-02-09 02:14:15.228000,1676.155,25,55,0,100,,29ABE0A0,Male,United States,United States,,English,Yes,United States,Chinese
5e3f646d74ddfb1ca368113d,5bcbde9d08a62c0001f86bd0,TIMED-OUT,2020-02-09 01:46:21.924000,,43039.075457,37,733,0,100,,,Male,United States,United States,Full-Time,English,No,United States,English
5e3f646efb9ed51ca22e61df,5e1cd99cbd738506c007f1a2,RETURNED,2020-02-09 01:46:24.749000,,43036.272226,20,3,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e3f6473efb86e1c939f60b9,5de301515253b03390043d12,AWAITING REVIEW,2020-02-09 01:46:43.818000,2020-02-09 02:21:02.703000,2058.885,56,100,0,100,,29ABE0A0,Male,United States,Jamaica,Full-Time,English,No,United States,English
5e3f6474ff26bb1c3edd7c68,5d6394518df2870001a74b42,RETURNED,2020-02-09 01:52:13.770000,,42687.27487,23,187,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e3f647819a5ea1c3bf2e5fa,5dbee94de0a6e839b5a23898,AWAITING REVIEW,2020-02-09 01:48:39.353000,2020-02-09 02:17:13.313000,1713.96,27,173,1,100,,29ABE0A0,Male,United States,United States,Full-Time,English,No,United States,English
5e3f647852ab501c370cc82e,5bdc96a7ba6cc10001854ac8,RETURNED,2020-02-09 01:46:32.362000,,43028.706467,30,670,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e3f64799cfe9b1c6d840626,5cb5d78329f6ff00167f5e24,APPROVED,2020-02-09 01:46:33.011000,2020-02-09 02:04:19.061000,1066.05,19,63,0,100,2020-02-09 02:07:04.364000,29ABE0A0,Male,Poland,Poland,Part-Time,Polish,No,Poland,Polish
5e3f6479efb86e1c939f60ba,5d6a5a33c5508e001bb4844c,AWAITING REVIEW,2020-02-09 01:46:37.714000,2020-02-09 02:13:18.166000,1600.452,21,48,0,100,,29ABE0A0,Male,United Kingdom,United Kingdom,Part-Time,English,Yes,United Kingdom,English
5e3f647c6e80301c453bc782,5e11dc944fa02a86c7ac97fc,RETURNED,2020-02-09 01:46:36.468000,,43024.645952,20,66,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e3f647ec10d051c176daec4,5c44b3fe1bbffd0001014286,AWAITING REVIEW,2020-02-09 01:46:38.058000,2020-02-09 02:17:43.221000,1865.163,26,400,1,100,,29ABE0A0,Male,United Kingdom,United Kingdom,Full-Time,English,No,United Kingdom,English
5e3f64fdaa21c61c60bdf416,5c8af558d551550019d44308,AWAITING REVIEW,2020-02-09 01:48:45.598000,2020-02-09 02:45:25.507000,3399.909,26,293,0,100,,29ABE0A0,Female,United Kingdom,United Kingdom,Full-Time,English,Yes,United Kingdom,English
5e3f665f2ee93c1bb2f9746d,5ddbf093c5fa30b39100b0fa,RETURNED,2020-02-09 01:54:48.166000,,42532.994614,20,8,1,96,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e3f66afd960941c8cfc0d5e,5aeacc45d9f2be00019341ae,AWAITING REVIEW,2020-02-09 01:56:52.515000,2020-02-09 02:23:12.323000,1579.808,34,267,2,100,,29ABE0A0,Male,Australia,Australia,Part-Time,English,No,Australia,English
5e3f67178dd3cf1ca62c14a0,58d9a79c33fef3000118abdf,AWAITING REVIEW,2020-02-09 01:58:00.675000,2020-02-09 02:20:10.562000,1329.887,30,1016,0,100,,29ABE0A0,Male,United States,United States,Unemployed (and job seeking),Croatian,No,United States,English
5e3f696809a1141d0e3e447b,5be36be211870100014e3a10,AWAITING REVIEW,2020-02-09 02:07:38.194000,2020-02-09 02:28:28.142000,1249.948,24,255,3,99,,29ABE0A0,Female,United States,United States,Full-Time,English,Yes,United States,English
5e3f696af8f4241c39704f87,5ce1c41efd11c100182600e5,AWAITING REVIEW,2020-02-09 02:07:38.648000,2020-02-09 02:30:18.869000,1360.221,19,70,0,100,,29ABE0A0,Male,Czech Republic,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,Yes,Czech Republic,Czech
5e3f69c3fac6271ca6539a13,5c28cac3867f660001ae9c4a,AWAITING REVIEW,2020-02-09 02:10:02.828000,2020-02-09 02:45:27.730000,2124.902,28,426,0,100,,29ABE0A0,Male,United Kingdom,United Kingdom,Full-Time,English,No,United Kingdom,English
5e3f6b3db484a81cf8547c12,5e276413061ea89a4e2a03f6,AWAITING REVIEW,2020-02-09 02:15:24.985000,2020-02-09 03:00:02.519000,2677.534,23,37,0,100,,29ABE0A0,Male,United States,United States,Unemployed (and job seeking),English,No,United States,English
5e3f804226325d1df7a1aae5,5bf3761862e1bc0001f15cb2,AWAITING REVIEW,2020-02-09 03:45:06.820000,2020-02-09 04:27:34.416000,2547.596,37,462,0,100,,29ABE0A0,Male,United States,United States,Part-Time,English,No,United States,English
5e3f80464a6a7f1e340d02e7,5d55b07784e15000179c034e,AWAITING REVIEW,2020-02-09 03:45:10.438000,2020-02-09 04:01:55.266000,1004.828,20,128,0,100,,29ABE0A0,Male,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,No,United Kingdom,English
