"id","prolific_pid","session_id","responses","tp","tn","fp","fn","cumulative_pay","condition","incentive","trial","duration"
3216,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","3,6,7,8",2,2,-2,-4,-3960,"raw-data","1",28,25.088
3217,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","4,3,10,6",4,5,0,-1,-3800,"raw-data","1",25,29.544
3218,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","null",0,4,0,-6,-3840,"raw-data","1",22,40.898
3219,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","6,10,4",1,3,-2,-4,-7800,"raw-data","1",19,17.628
3220,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","null",0,2,0,-8,-7920,"raw-data","1",16,22.235
3221,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","null",0,1,0,-9,-8080,"raw-data","1",13,10.031
3222,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","10,1",1,3,-1,-5,-10080,"raw-data","1",10,14.257
3223,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","2",0,4,-1,-5,-12080,"raw-data","1",7,9.276
3224,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","1",0,6,-1,-3,-14000,"raw-data","1",4,10.948
3225,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","8,7,9",3,6,0,-1,-13840,"raw-data","1",1,19.434
3226,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","10,8",2,3,0,-5,-13840,"raw-data","1",29,13.038
3227,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","7,5",2,3,0,-5,-13840,"raw-data","1",26,14.844
3228,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","3",1,5,0,-4,-13800,"raw-data","1",23,8.611
3229,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","9,4",2,5,0,-3,-13720,"raw-data","1",20,10.625
3230,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","3",1,7,0,-2,-13600,"raw-data","1",17,12.029
3231,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","null",0,5,0,-5,-13600,"raw-data","1",14,9.605
3232,"5d98717b5e156602e8f5fab0","5e4b4d05333b71068bc70398","2,6,9,8,3",3,5,-2,0,-3800,"raw-data","1",17,121.201
3233,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","9",1,5,0,-4,-13560,"raw-data","1",11,11.109
3234,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","7,5",2,6,0,-2,-13440,"raw-data","1",8,16.293
3235,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","null",0,3,0,-7,-13520,"raw-data","1",5,10.723
3236,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","9",1,4,0,-5,-13520,"raw-data","1",2,8.462
3237,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","9,4,1",3,6,0,-1,-13360,"raw-data","1",30,12.949
3238,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","4,8,10",3,3,0,-4,-13320,"raw-data","1",27,11.286
3239,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","3",1,6,0,-3,-13240,"raw-data","1",24,10.447
3240,"5d98717b5e156602e8f5fab0","5e4b4d05333b71068bc70398","5,9,4,8,3,2,10",4,3,-3,0,-9600,"raw-data","1",3,97.282
3241,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","10,5",2,8,0,0,-13040,"raw-data","1",21,7.889
3242,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","8,6",0,6,-2,-2,-16920,"raw-data","1",18,26.83
3243,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","null",0,9,0,-1,-16760,"raw-data","1",15,8.642
3244,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","7",1,5,0,-4,-16720,"raw-data","1",12,10.001
3245,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","6,8,7,2",4,2,0,-4,-16680,"raw-data","1",9,10.209
3246,"5d98717b5e156602e8f5fab0","5e4b4d05333b71068bc70398","6,1,8,4,5,7,9",4,2,-3,-1,-15440,"raw-data","1",20,62.689
3247,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","8,3",2,6,0,-2,-16560,"raw-data","1",6,12.584
3248,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","2,5",2,6,0,-2,-16440,"raw-data","1",3,11.857
3249,"5d98717b5e156602e8f5fab0","5e4b4d05333b71068bc70398","9,3,10,5,2,8",4,4,-2,0,-19240,"raw-data","1",6,55.611
3250,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","8",1,4,0,-5,-16440,"raw-data","30",28,10.397
3251,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","4",1,5,0,-4,-16400,"raw-data","30",25,10.699
3252,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","null",0,4,0,-6,-16440,"raw-data","30",22,6.827
3253,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","10,4",1,4,-1,-4,-16467,"raw-data","30",19,14.115
3254,"5d98717b5e156602e8f5fab0","5e4b4d05333b71068bc70398","5,7,3,4,6,10",5,4,-1,0,-21040,"raw-data","1",23,38.395
3255,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","null",0,2,0,-8,-16587,"raw-data","30",16,11.923
3256,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","10",1,1,0,-8,-16707,"raw-data","30",13,21.312
3257,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","1,10",1,3,-1,-5,-16774,"raw-data","30",10,12.482
3258,"5d98717b5e156602e8f5fab0","5e4b4d05333b71068bc70398","9,2,8,6,4,7,3,5,1,10",8,0,-2,0,-24840,"raw-data","1",9,59.118
3259,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","null",0,5,0,-5,-16774,"raw-data","30",7,31.117
3260,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","3,1,5",2,6,-1,-1,-16681,"raw-data","30",4,14.104
3261,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","6,8",1,5,-1,-3,-16668,"raw-data","30",1,14.668
3262,"5d00968ff64113001a8290ed","5e4b4c39f845060638a9e9c5","10,8",2,3,0,-5,-16668,"raw-data","30",29,9.826
