session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Sex,Student Status,Current Country of Residence,Employment Status,Fluent languages,Nationality,Country of Birth,First Language
5e4b4bd250abbb05df688231,5d1b8ec0643db3001bb9129d,RETURNED,2020-02-18 02:28:34.799000,,133091.229442,22,58,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4b4c39f845060638a9e9c5,5d00968ff64113001a8290ed,APPROVED,2020-02-18 02:30:26.965000,2020-02-18 02:55:22.191000,1495.226,19,18,0,100,2020-02-18 17:49:38.119000,29ABE0A0,Female,Yes,Australia,Part-Time,English,Australia,South Africa,Afrikaans
5e4b4cce42c5c4063cb21122,56e32190e414dc000c8b40ae,APPROVED,2020-02-18 02:37:19.408000,2020-02-18 03:12:06.893000,2087.485,29,483,0,100,2020-02-18 17:49:39.920000,29ABE0A0,Male,No,United States,Other,English,United States,United States,English
5e4b4d05333b71068bc70398,5d98717b5e156602e8f5fab0,REJECTED,2020-02-18 02:33:45.874000,2020-02-18 02:56:44.619000,1378.745,49,3,1,87,2020-02-18 17:53:47.340000,NOCODE,Female,No,Canada,"Not in paid work (e.g. homemaker', 'retired or disabled)","English, French, Italian",Canada,Canada,English
5e4c8c60506e2f0e996eb16b,5b8eda7cdc2b880001b6f1de,APPROVED,2020-02-19 01:16:24.790000,2020-02-19 01:53:25.546000,2220.756,23,176,0,100,2020-02-19 02:35:56.947000,29ABE0A0,Male,No,Portugal,Full-Time,"English, Portuguese, Spanish",Portugal,Portugal,Portuguese
5e4c9f2b403f4f10842b3695,5d36600685d1d50001affacb,RETURNED,2020-02-19 02:36:27.203000,,46218.921028,50,306,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e4c9f2bf613aa105b5ef240,5e2ce1ff32129c311147fb0f,APPROVED,2020-02-19 02:36:27.878000,2020-02-19 03:02:20.180000,1552.302,26,12,1,98,2020-02-19 14:12:41.792000,29ABE0A0,Male,Yes,Poland,Part-Time,"English, Polish",Poland,Poland,Polish
5e4c9f2c55eaed0fd855b888,5c9f84909e01ef001897db75,APPROVED,2020-02-19 02:36:28.563000,2020-02-19 03:23:06.303000,2797.74,32,369,9,95,2020-02-19 14:12:44.138000,29ABE0A0,Female,No,United States,Full-Time,English,United States,United States,English
5e4c9f2e0f11d20f9065bd91,55f1d57632af74001217014d,APPROVED,2020-02-19 02:36:30.514000,2020-02-19 03:51:56.544000,4526.03,24,102,0,100,2020-02-19 14:12:45.382000,29ABE0A0,Female,No,United States,Unemployed (and job seeking),English,United States,United States,English
5e4c9f2e4b4ceb1013363db6,5e39b4e8eed08202335f88bb,APPROVED,2020-02-19 02:36:30.920000,2020-02-19 03:10:11.768000,2020.848,28,4,0,100,2020-02-19 14:12:46.337000,29ABE0A0,Male,No,Portugal,Unemployed (and job seeking),"English, Portuguese",Portugal,Portugal,Portuguese
5e4c9f30c5f4f50e72af7917,579e1e2b275be6000135af15,APPROVED,2020-02-19 02:36:38.310000,2020-02-19 03:08:17.200000,1898.89,44,343,1,100,2020-02-19 14:12:48.277000,29ABE0A0,Male,No,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,United States,English
5e4c9f3010decf0f59282e84,5d8e79ccd0e8b9001846e8a8,APPROVED,2020-02-19 02:36:32.950000,2020-02-19 03:22:19.734000,2746.784,34,231,0,100,2020-02-19 14:12:47.308000,29ABE0A0,Female,No,United States,Part-Time,English,United States,United States,English
5e4c9f31a80a1d0ebf7be538,5e35005b59b1364c22aefd7a,APPROVED,2020-02-19 02:36:55.373000,2020-02-19 03:10:04.584000,1989.211,39,25,1,96,2020-02-19 14:12:49.285000,29ABE0A0,Male,No,United States,Full-Time,English,United States,United States,English
5e4c9f32be83df0fbd21387d,5dead51bb48fa7200b3d0dd8,APPROVED,2020-02-19 02:36:43.899000,2020-02-19 03:16:44.271000,2400.372,51,40,0,100,2020-02-19 14:12:52.754000,29ABE0A0,Female,No,United States,Unemployed (and job seeking),English,United States,United States,English
5e4c9f321ed1050ee7a4eaf4,5dae84b33990ed001856475a,APPROVED,2020-02-19 02:36:41.912000,2020-02-19 03:06:25.978000,1784.066,32,60,0,100,2020-02-19 14:12:50.444000,29ABE0A0,Male,No,Canada,Full-Time,"Armenian, French, English",Canada,Canada,Armenian
5e4c9f32a971e80f13bfec0f,5e40d4deaa21c630cc668919,APPROVED,2020-02-19 02:36:34.916000,2020-02-19 03:29:47.703000,3192.787,21,3,0,100,2020-02-19 14:12:51.454000,29ABE0A0,Male,Yes,Canada,Part-Time,"Arabic, English, French, Spanish",Lebanon,Canada,French
5e4c9f338de03d0eafad7363,5e3dc654f0cb0004178c62dd,APPROVED,2020-02-19 02:36:34.999000,2020-02-19 03:05:47.230000,1752.231,29,11,0,100,2020-02-19 14:12:55.904000,29ABE0A0,Female,No,Canada,Full-Time,English,Egypt,Saudi Arabia,English
5e4c9f336792880ff8e9c399,5e46f51bc3298c1bf813a984,APPROVED,2020-02-19 02:37:08.507000,2020-02-19 02:57:08.049000,1199.542,22,9,0,100,2020-02-19 14:12:54.713000,29ABE0A0,Male,Yes,United States,Part-Time,English,United States,United States,English
5e4c9f332e61510ff8efb609,5c6dee52031a7c000190891f,APPROVED,2020-02-19 02:42:08.161000,2020-02-19 04:04:38.824000,4950.663,30,440,2,100,2020-02-19 14:12:53.774000,29ABE0A0,Female,No,United States,Part-Time,English,United States,United States,English
5e4c9f351a0a620fb53f4782,5c9cc12096cb340017b7321f,APPROVED,2020-02-19 02:36:37.740000,2020-02-19 02:50:32.381000,834.641,34,128,2,100,2020-02-19 14:12:56.919000,29ABE0A0,Male,Yes,Spain,Full-Time,"English, Galician, Spanish",Spain,Spain,Spanish
