session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
5e6f922acc939804bb9287f6,5e6e880e03cac4000c303b57,APPROVED,2020-03-16 14:50:43.288000,2020-03-16 15:19:59.641000,1756.353,18,1,0,100,2020-03-18 12:58:06.874000,29ABE0A0,Poland,Poland,Unemployed (and job seeking),Polish,"English, Polish, German",Poland,Male,Yes
5e6f923b0cf1040414ecb989,5d0f5ed255f0c7001934648d,TIMED-OUT,2020-03-16 14:50:41.976000,,383931.510834,44,30,0,100,,,Spain,Spain,Unemployed (and job seeking),Spanish,English,Spain,Male,No
5e6fa991de3a2f01287615c2,5df3c98c2e47252ab31f2b32,REJECTED,2020-03-16 16:32:08.372000,2020-03-16 16:46:33.490000,865.118,25,19,1,98,2020-03-17 14:42:00.845000,NOCODE,Greece,,Part-Time,Greek,"Greek, German, English",Greece,Male,Yes
5e70e5bff9b1680009e939d5,579f1d3bc9abeb0001af52d8,APPROVED,2020-03-17 14:59:20.732000,2020-03-17 15:23:30.186000,1449.454,37,1127,2,100,2020-03-18 12:58:07.891000,29ABE0A0,United States,United States,Other,English,English,United States,Male,No
5e70f3f78ca093083d7df1ff,5cd58dc0d1980f0018a3740d,APPROVED,2020-03-17 16:00:14.833000,2020-03-17 16:15:31.890000,917.057,23,162,1,100,2020-03-18 12:58:08.842000,29ABE0A0,United Kingdom,United Kingdom,Full-Time,English,English,United Kingdom,Female,No
5e70f3fa883b9801d7d3a2a1,59e7232f24d7bf00012f112e,RETURNED,2020-03-17 16:00:15.335000,,293358.272152,31,194,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e70f3fa2254670859e9e7f7,5d90e0dd4421030017cf24ac,APPROVED,2020-03-17 16:00:07.101000,2020-03-17 16:22:29.501000,1342.4,27,14,1,96,2020-03-18 12:58:10.089000,29ABE0A0,Portugal,Portugal,Full-Time,Portuguese,"Portuguese, English",Portugal,Male,No
5e70f696aaff920860c1164a,5c665e1948985d0001f09675,APPROVED,2020-03-17 16:11:08.829000,2020-03-17 16:54:41.888000,2613.059,32,348,0,100,2020-03-18 12:58:11.054000,29ABE0A0,United Kingdom,Germany,Full-Time,English,"English, German, French",United Kingdom,Male,No
5e7154fc846f8907668ad133,5e426dbfbc27ad10220a4cb3,APPROVED,2020-03-17 22:53:48.769000,2020-03-17 23:14:31.054000,1242.285,19,52,0,100,2020-03-18 12:58:12.018000,29ABE0A0,United States,United States,Unemployed (and job seeking),Chinese,"English, Chinese",United States,Female,Yes
5e7154feda146b072b53cd9d,5d53ed11c1f6fc0018c07813,APPROVED,2020-03-17 22:53:53.668000,2020-03-17 23:11:12.840000,1039.172,22,33,0,100,2020-03-18 12:58:14.161000,29ABE0A0,Greece,France,Full-Time,Greek,"German, Greek, English",Greece,Male,Yes
5e7154fe28c58101731b0860,5d4573a4b2da940017184d16,APPROVED,2020-03-17 22:53:50.933000,2020-03-17 23:17:07.667000,1396.734,45,92,0,100,2020-03-18 12:58:13.186000,29ABE0A0,Poland,Poland,Full-Time,Polish,"Polish, German, English",Poland,Female,No
5e715500b1f71c07a3b92e72,5d48f454fb0ce0001a050283,RETURNED,2020-03-17 22:53:53.856000,,268539.889863,,301,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
