session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
5e739dadc88a682ff52499b9,5c4bbb368897520001566888,RETURNED,2020-03-19 16:28:43.086000,,118774.542445,38,50,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e739dbc634ba730fb36c489,5d1b780761487e000138c1d6,TIMED-OUT,2020-03-19 16:28:44.863000,,118772.765571,19,23,1,99,,,Portugal,Portugal,Other,Portuguese,"Portuguese, English",Portugal,Male,Yes
5e739dc1a9b19e2fe3da94cb,5c50b031d5f934000198d1a6,RETURNED,2020-03-19 16:28:56.956000,,118760.697736,23,18,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e739e299b453705e6f77114,5de93d9ae045e206b871af2c,APPROVED,2020-03-19 16:30:33.578000,2020-03-19 17:12:28.530000,2514.952,24,29,0,100,2020-03-19 20:48:08.841000,29ABE0A0,Poland,Poland,Unemployed (and job seeking),Polish,"English, Polish",Poland,Female,Yes
5e73a0226a37ce03acf0b621,5e0ed6934cac6860db310491,APPROVED,2020-03-19 16:38:59.941000,2020-03-19 17:12:32.424000,2012.483,26,75,1,100,2020-03-19 20:48:09.884000,29ABE0A0,United States,United States,Part-Time,English,"English, Japanese",United States,Female,No
5e73b327c4c4983281d33841,5dce6f1024a02c0e316511fb,APPROVED,2020-03-19 18:00:07.109000,2020-03-19 18:31:01.054000,1853.945,36,41,1,100,2020-03-19 20:48:10.817000,29ABE0A0,Poland,Poland,Full-Time,English,"English, Polish, German, French",Poland,Male,No
5e73c54c082d5f00080d0fef,5dbc4daee5b13d1f2d4577d0,APPROVED,2020-03-19 19:26:40.585000,2020-03-19 19:56:18.714000,1778.129,20,69,0,100,2020-03-19 20:48:11.873000,29ABE0A0,Portugal,United Kingdom,Part-Time,Portuguese,"Portuguese, English",Portugal,Female,Yes
5e73c54d975279333f8ca093,5e5e2a238627aa13cf71d42e,APPROVED,2020-03-19 19:17:37.014000,2020-03-19 19:34:17.894000,1000.88,23,7,0,100,2020-03-19 20:48:14.551000,29ABE0A0,United Kingdom,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United Kingdom,Female,No
5e73c54dff5c1234b64ab376,5aa61dd36475f90001a05dcf,APPROVED,2020-03-19 19:17:35.789000,2020-03-19 19:37:41.440000,1205.651,47,567,1,100,2020-03-19 20:48:15.514000,29ABE0A0,United States,United States,Other,English,English,United States,Male,No
5e73c54d432c60000a78caa1,5d25781deae1310019e2e95d,APPROVED,2020-03-19 19:17:38.866000,2020-03-19 19:33:51.096000,972.23,20,239,0,100,2020-03-19 20:48:12.840000,29ABE0A0,United States,United States,Full-Time,English,"English, Urdu, Spanish, Hindi",United States,Female,Yes
5e73c54ead911a339e13734a,5e3491b4239ceb458de7b930,APPROVED,2020-03-19 19:17:53.047000,2020-03-19 19:33:58.695000,965.648,19,27,0,100,2020-03-19 20:48:16.499000,29ABE0A0,United Kingdom,United Kingdom,Due to start a new job within the next month,English,English,United Kingdom,Male,No
5e73c54f467dff32e86b66f2,57ddb4d25e1b5f0001d2d8f7,RETURNED,2020-03-19 19:17:39,,108638.858243,42,107,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5e73c551bea4de34187fe162,5cdc13c84e5adf0019f5dc33,TIMED-OUT,2020-03-19 19:17:53.719000,,108624.139325,20,24,1,99,,,Portugal,Portugal,Other,Portuguese,"English, Portuguese, Spanish",Portugal,Male,Yes
5e73c552240b7809282d1c62,5dbdf54d13d4c7320ab224f7,RETURNED,2020-03-19 19:17:48.976000,,108628.905097,73,191,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
