"id","prolific_pid","session_id","modulo","uuid"
1,"5df2bfu3t1njcjhdyt3u1a3b3","03qnjitjscr3",5,"2b9761a8-a245-458e-979b-6ea35ae077c5"
2,"null","null",76,"11b555fd-0ef4-4fe5-85e7-60f379eb9b93"
3,"null","null",76,"11b555fd-0ef4-4fe5-85e7-60f379eb9b93"
4,"null","null",8,"69211f19-11c5-416c-9f44-eafde9ecdd02"
5,"null","null",74,"0c4b1507-9e0b-4cd9-ba37-da9dbc350557"
6,"null","null",66,"3fdef7d9-e9a4-4980-8f15-95306cd22ee1"
7,"null","null",74,"0c4b1507-9e0b-4cd9-ba37-da9dbc350557"
8,"null","null",23,"5d1d2454-0fb7-4d64-acf0-0fe20f5eb745"
9,"null","null",28,"a808e290-cd8b-484c-b362-18d0f155d01c"
10,"null","null",73,"7eb6e3a6-9bdb-4e6d-882d-dc66d1dfb586"
11,"null","null",83,"b81ef12b-dcf6-4b89-a2d6-e2b551d62007"
12,"5df2708f2e472517f708a3b3","0t771xllbwz",53,"0e4cf0a7-53a6-42b0-b413-1823b31c106c"
13,"null","null",6,"9f28f8ef-82b0-47da-bf3a-6ab58f43cc8e"
14,"null","null",85,"40c6b63f-8349-446d-b8db-2890f8b8996e"
15,"null","null",42,"f16da8b5-c751-4ab1-8bd8-196e93482d15"
16,"null","null",46,"029c5c8c-e9fb-45fc-959c-e41fd20e6cb1"
17,"null","null",60,"47417976-4707-482e-a3a0-524cdec42616"
18,"null","null",11,"21ae5978-31e8-4eea-a61b-4a06060c6e52"
19,"5df2708f2e4826367f708a3b3","null",63,"50d8faea-f488-4632-9f61-c89becec97e7"
20,"null","null",43,"ef86154f-64b1-435f-8a93-3496972becef"
21,"null","null",35,"9a52aaec-d26e-4357-8347-fe12b11bb321"
22,"null","null",35,"9a52aaec-d26e-4357-8347-fe12b11bb321"
23,"5dc5d66cfd08d4451464d169","0k1qmxjqh5mi",4,"cce7dfdd-c341-4e33-b8bf-37ebe2bb5e13"
24,"5dc5d66cfd08d4451464d169","06mocqs8qmx",99,"ac64b93d-5637-47a9-83f9-4c5b5c588315"
25,"null","null",81,"5f2b5c44-9e1a-40d4-a534-6ee8758b195a"
26,"5dc5d66cfd08d4451464d169","0t9k8kmirm0h",13,"36df1bb5-330a-4509-adde-93a42ce199dc"
27,"5dc5d66cfd08d4451464d169","0hxz6712lw2h",9,"8b836c8f-6a23-4531-ae1d-9894b5056ffe"
28,"5dc5d66cfd08d4451464d169","0hxz6712lw2h",9,"8b836c8f-6a23-4531-ae1d-9894b5056ffe"
29,"null","null",24,"ea5fd04e-35ce-4ca5-a57c-22748fd3fad8"
30,"null","null",18,"d3b5cd03-a528-4989-b3eb-b6395a3aa327"
