"prolific_pid","id","tp","tn","fp","fn","condition","incentive","trial","duration","nregions","trial_id","ntrials","alpha","block"
"5e6e880e03cac4000c303b57",6354,4,5,2,1,"ci",5,19,32.823,"12",1,12,0.05,1
"5e6e880e03cac4000c303b57",6355,2,5,1,4,"ci",5,7,70.551,"12",2,12,0.05,1
"5e6e880e03cac4000c303b57",6356,9,2,1,0,"ci",5,26,23.086,"12",3,12,0.05,1
"5e6e880e03cac4000c303b57",6357,9,2,0,1,"ci",5,14,24.572,"12",4,12,0.05,1
"5e6e880e03cac4000c303b57",6359,5,7,0,0,"ci",5,2,14.67,"12",5,12,0.05,1
"5e6e880e03cac4000c303b57",6361,7,5,0,0,"ci",5,21,15.58,"12",6,12,0.05,1
"5e6e880e03cac4000c303b57",6363,5,5,2,0,"ci",5,9,7.754,"12",7,12,0.05,1
"5e6e880e03cac4000c303b57",6365,3,8,0,1,"ci",5,28,21.207,"12",8,12,0.05,1
"5e6e880e03cac4000c303b57",6368,4,5,0,3,"ci",5,16,12.267,"12",9,12,0.05,1
"5e6e880e03cac4000c303b57",6370,7,4,0,1,"ci",5,4,17.773,"12",10,12,0.05,1
"5e6e880e03cac4000c303b57",6371,7,5,0,0,"ci",5,23,9.573,"12",11,12,0.05,1
"5e6e880e03cac4000c303b57",6372,2,8,1,1,"ci",5,11,9.986,"12",12,12,0.05,1
"5e6e880e03cac4000c303b57",6373,6,6,0,0,"ci",5,30,9.709,"12",13,12,0.05,1
"5e6e880e03cac4000c303b57",6375,6,4,2,0,"ci",5,18,7.069,"12",14,12,0.05,1
"5e6e880e03cac4000c303b57",6378,6,4,1,1,"ci",5,6,23.457,"12",15,12,0.05,1
"5e6e880e03cac4000c303b57",6379,4,5,1,2,"ci",5,25,10.66,"12",16,12,0.05,1
"5e6e880e03cac4000c303b57",6381,0,8,0,4,"ci",5,13,12.598,"12",17,12,0.05,1
"5e6e880e03cac4000c303b57",6383,4,4,0,4,"ci",5,1,9.383,"12",18,12,0.05,1
"5e6e880e03cac4000c303b57",6385,5,3,0,4,"ci",5,20,13.243,"12",19,12,0.05,1
"5e6e880e03cac4000c303b57",6387,0,8,0,4,"ci",5,8,12.466,"12",20,12,0.05,1
